reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
75,92,3,0,0,0,l,6.66990080000005,None,0,0,0,42,0.11135800000010931,,0.10301329999992959,0.11135800000010931,1.001864299999852,1.001864299999852,1.1187352000001738,7.693797700000232,l,6.66990080000005,None,212,001,2025-10-30_10h06.11.562,delay_discounting,,2025.1.1,59.90538543424023,2025-10-30 10h06.20.097083 +0530,
69,112,150,1,1,0,l,2.2559572000000117,None,0,1,1,4,7.711693799999921,,7.703082399999857,7.711693799999921,8.702188000000206,8.702188000000206,8.718758500000149,10.969454900000073,l,2.2559572000000117,None,212,001,2025-10-30_10h06.11.562,delay_discounting,,2025.1.1,59.90538543424023,2025-10-30 10h06.20.097083 +0530,
29,37,10,2,2,0,l,3.380892799999856,None,0,2,2,72,10.98501239999996,,10.974438199999895,10.98501239999996,11.968752499999937,11.968752499999937,11.985591200000272,15.352541600000222,l,3.380892799999856,None,212,001,2025-10-30_10h06.11.562,delay_discounting,,2025.1.1,59.90538543424023,2025-10-30 10h06.20.097083 +0530,
55,69,14,3,3,0,t,2.101582700000108,None,0,3,3,52,15.368405100000018,,15.35956810000016,15.368405100000018,16.352158400000008,16.352158400000008,16.368930300000102,18.46962250000024,t,2.101582700000108,None,212,001,2025-10-30_10h06.11.562,delay_discounting,,2025.1.1,59.90538543424023,2025-10-30 10h06.20.097083 +0530,
49,79,88,4,4,0,l,0.8396960999998555,None,0,4,4,16,18.48817880000024,,18.478883600000245,18.48817880000024,19.468870300000162,19.468870300000162,19.5022199,20.31940250000025,l,0.8396960999998555,None,212,001,2025-10-30_10h06.11.562,delay_discounting,,2025.1.1,59.90538543424023,2025-10-30 10h06.20.097083 +0530,
20,50,14,5,5,0,l,2.1515033999999105,None,0,5,5,46,20.334983799999918,,20.324155900000278,20.334983799999918,21.3187925000002,21.3187925000002,21.3355004,23.485885600000074,l,2.1515033999999105,None,212,001,2025-10-30_10h06.11.562,delay_discounting,,2025.1.1,59.90538543424023,2025-10-30 10h06.20.097083 +0530,
46,63,60,6,6,0,t,0.7809363999999732,None,0,6,6,25,23.501962100000128,,23.49038789999986,23.501962100000128,24.485734400000183,24.485734400000183,24.50221099999999,25.269445200000064,t,0.7809363999999732,None,212,001,2025-10-30_10h06.11.562,delay_discounting,,2025.1.1,59.90538543424023,2025-10-30 10h06.20.097083 +0530,
19,109,89,7,7,0,l,1.5690718999999262,None,0,7,7,8,25.285049099999924,,25.27462199999991,25.285049099999924,26.268868600000133,26.268868600000133,26.28520780000008,27.852804600000127,l,1.5690718999999262,None,212,001,2025-10-30_10h06.11.562,delay_discounting,,2025.1.1,59.90538543424023,2025-10-30 10h06.20.097083 +0530,
70,105,117,8,8,0,l,1.9867024999998648,None,0,8,8,77,27.868477800000164,,27.85740990000022,27.868477800000164,28.852169400000093,28.852169400000093,28.868820400000004,30.852820600000086,l,1.9867024999998648,None,212,001,2025-10-30_10h06.11.562,delay_discounting,,2025.1.1,59.90538543424023,2025-10-30 10h06.20.097083 +0530,
39,46,52,9,9,0,t,1.0778573000002325,None,0,9,9,64,30.868201000000226,,30.858484899999894,30.868201000000226,31.852375700000266,31.852375700000266,31.868983899999876,32.93615060000002,t,1.0778573000002325,None,212,001,2025-10-30_10h06.11.562,delay_discounting,,2025.1.1,59.90538543424023,2025-10-30 10h06.20.097083 +0530,
