thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.005555555555555556)],[np.float64(0.3055555555555556)],[1],[0],[0],[0.7602815000000192],['target'],0,0,0,0,0.06476870000005874,,5,0.04468539999970744,0.06476870000005874,0.06476870000005874,0.044727899999998044,0.8050650999998652,[np.float64(0.005555555555555556)],[np.float64(0.3055555555555556)],[1],[0],[0],[0.7602815000000192],['target'],par_1_final,001,2025-09-30_09h24.21.291,visual search,,2025.1.1,59.51725554030668,2025-09-30 09h24.36.807189 +0530,
1,0,1,[np.float64(-0.3175925925925926)],[np.float64(-0.03518518518518519)],[1],[0],[0],[0.8206723000002967],['target'],1,0,1,0,0.8470981000000393,,5,0.8315884999997252,0.8470981000000393,0.8470981000000393,0.02634330000000773,1.6523621999999705,[np.float64(-0.3175925925925926)],[np.float64(-0.03518518518518519)],[1],[0],[0],[0.8206723000002967],['target'],par_1_final,001,2025-09-30_09h24.21.291,visual search,,2025.1.1,59.51725554030668,2025-09-30 09h24.36.807189 +0530,
2,0,2,[np.float64(0.4046296296296296)],[np.float64(0.0712962962962963)],[1],[0],[0],[1.5429183999999623],['target'],2,0,2,0,1.6925906999999825,,5,1.677774899999804,1.6925906999999825,1.6925906999999825,0.025180200000249897,3.220806999999695,[np.float64(0.4046296296296296)],[np.float64(0.0712962962962963)],[1],[0],[0],[1.5429183999999623],['target'],par_1_final,001,2025-09-30_09h24.21.291,visual search,,2025.1.1,59.51725554030668,2025-09-30 09h24.36.807189 +0530,
3,0,3,[np.float64(0.3990740740740741)],[np.float64(0.06851851851851852)],[1],[0],[0],[1.5708606000002874],[None],3,0,3,0,3.290208299999904,,10,3.26763179999989,3.290208299999904,3.290208299999904,0.04664089999960197,4.838609699999779,[np.float64(0.3990740740740741)],[np.float64(0.06851851851851852)],[1],[0],[0],[1.5708606000002874],[None],par_1_final,001,2025-09-30_09h24.21.291,visual search,,2025.1.1,59.51725554030668,2025-09-30 09h24.36.807189 +0530,
4,0,4,[np.float64(-0.11574074074074074)],[np.float64(-0.1925925925925926)],[1],[0],[0],[1.9564700999999332],['target'],4,0,4,0,4.904497499999707,,10,4.881257199999709,4.904497499999707,4.904497499999707,0.042433900000105496,6.837847899999815,[np.float64(-0.11574074074074074)],[np.float64(-0.1925925925925926)],[1],[0],[0],[1.9564700999999332],['target'],par_1_final,001,2025-09-30_09h24.21.291,visual search,,2025.1.1,59.51725554030668,2025-09-30 09h24.36.807189 +0530,
5,0,5,[np.float64(-0.10555555555555556)],[np.float64(0.34074074074074073)],[1],[0],[0],[1.3321187999999893],[None],5,0,5,0,6.867789500000072,,5,6.856455000000096,6.867789500000072,6.867789500000072,0.018385899999884714,8.188664599999811,[np.float64(-0.10555555555555556)],[np.float64(0.34074074074074073)],[1],[0],[0],[1.3321187999999893],[None],par_1_final,001,2025-09-30_09h24.21.291,visual search,,2025.1.1,59.51725554030668,2025-09-30 09h24.36.807189 +0530,
6,0,6,[np.float64(0.05462962962962963)],[np.float64(-0.33240740740740743)],[1],[0],[0],[2.1378257999999732],[None],6,0,6,0,8.252255800000057,,10,8.232659499999954,8.252255800000057,8.252255800000057,0.043830799999796,10.37059360000012,[np.float64(0.05462962962962963)],[np.float64(-0.33240740740740743)],[1],[0],[0],[2.1378257999999732],[None],par_1_final,001,2025-09-30_09h24.21.291,visual search,,2025.1.1,59.51725554030668,2025-09-30 09h24.36.807189 +0530,
7,0,7,[np.float64(0.32314814814814813)],[np.float64(-0.30185185185185187)],[1],[0],[0],[1.0145543000003272],['target'],7,0,7,0,10.57681999999977,,10,10.407490199999756,10.57681999999977,10.57681999999977,0.03667600000017046,11.42217759999994,[np.float64(0.32314814814814813)],[np.float64(-0.30185185185185187)],[1],[0],[0],[1.0145543000003272],['target'],par_1_final,001,2025-09-30_09h24.21.291,visual search,,2025.1.1,59.51725554030668,2025-09-30 09h24.36.807189 +0530,
8,0,8,[np.float64(-0.23796296296296296)],[np.float64(0.4583333333333333)],[1],[0],[0],[1.6963399000001118],[None],8,0,8,0,11.475694400000066,,10,11.458773299999848,11.475694400000066,11.475694400000066,0.03630470000007335,13.155225599999994,[np.float64(-0.23796296296296296)],[np.float64(0.4583333333333333)],[1],[0],[0],[1.6963399000001118],[None],par_1_final,001,2025-09-30_09h24.21.291,visual search,,2025.1.1,59.51725554030668,2025-09-30 09h24.36.807189 +0530,
9,0,9,[np.float64(-0.47685185185185186)],[np.float64(0.14629629629629629)],[1],[0],[0],[0.9621189000004051],['target'],9,0,9,0,13.18976900000007,,5,13.176056700000117,13.18976900000007,13.18976900000007,0.020598399999926187,14.138281600000028,[np.float64(-0.47685185185185186)],[np.float64(0.14629629629629629)],[1],[0],[0],[0.9621189000004051],['target'],par_1_final,001,2025-09-30_09h24.21.291,visual search,,2025.1.1,59.51725554030668,2025-09-30 09h24.36.807189 +0530,
