delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response_routine.started,text.started,textbox.started,button.started,response_routine.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.1,1000,exp,0,0,0,space,0.30670739999993657,None,350,1,[4.950298099999941],[4.950311499999998],0,0,0,6,0.06013129999996636,,0.04842710000002626,0.06013129999996636,1.002710400000069,1.002710400000069,1.0699349999999868,1.3199646000000484,space,0.30670739999993657,None,1.3209870000000592,1.4199389666666926,1.7347853999999643,1.7117206000000351,1.713138400000048,1.7347853999999643,1.7347853999999643,1.7347853999999643,6.685614600000008,350,1,[4.950298099999941],[4.950311499999998],192227,001,2025-11-04_22h01.40.694,intentional binding,,2025.1.1,60.126831538440044,2025-11-04 22h01.53.632843 +0530,
0.1,400,unexp,1,1,0,space,1.0747663999999304,None,250,1,[5.843970600000034],[5.84398120000003],0,1,1,0,6.7006000000000085,,6.686051600000042,6.7006000000000085,7.684718400000065,7.684718400000065,7.702345400000013,8.77022050000005,space,1.0747663999999304,None,8.771527399999968,8.885955466666717,9.207728900000006,9.18585840000003,9.186504000000014,9.207728900000006,9.207728900000006,9.207728900000006,15.052106900000013,250,1,[5.843970600000034],[5.84398120000003],192227,001,2025-11-04_22h01.40.694,intentional binding,,2025.1.1,60.126831538440044,2025-11-04 22h01.53.632843 +0530,
0.7,400,unexp,2,2,0,space,0.35310679999997774,None,250,1,[2.1769893999999113],[2.1769993999999997],0,2,2,2,15.067616000000044,,15.052509500000042,15.067616000000044,16.068652300000053,16.068652300000053,16.068652300000053,16.43527610000001,space,0.35310679999997774,None,16.43651399999999,17.136609566666735,17.45821520000004,17.437588699999992,17.438218900000038,17.45821520000004,17.45821520000004,17.45821520000004,19.63562360000003,250,1,[2.1769893999999113],[2.1769993999999997],192227,001,2025-11-04_22h01.40.694,intentional binding,,2025.1.1,60.126831538440044,2025-11-04 22h01.53.632843 +0530,
0.7,1000,exp,3,3,0,space,1.6775789999999233,None,550,1,[1.9444512000000032],[1.9444621999999754],0,3,3,14,19.651028600000018,,19.635918700000047,19.651028600000018,20.65104020000001,20.65104020000001,20.65104020000001,22.33479650000004,space,1.6775789999999233,None,22.335533700000042,23.03387156666669,23.358325400000012,23.338393999999994,23.338873000000035,23.358325400000012,23.358325400000012,23.358325400000012,25.303157400000032,550,1,[1.9444512000000032],[1.9444621999999754],192227,001,2025-11-04_22h01.40.694,intentional binding,,2025.1.1,60.126831538440044,2025-11-04 22h01.53.632843 +0530,
0.4,1000,exp,4,4,0,space,1.517541000000051,None,600,1,[2.5605457000000342],[2.5605633000000125],0,4,4,10,25.31870140000001,,25.303499100000067,25.31870140000001,26.31778010000005,26.31778010000005,26.334288799999968,27.838313800000037,space,1.517541000000051,None,27.839215400000057,28.25265856666671,28.57459140000003,28.55386980000003,28.554445100000066,28.57459140000003,28.57459140000003,28.57459140000003,31.135611700000027,600,1,[2.5605457000000342],[2.5605633000000125],192227,001,2025-11-04_22h01.40.694,intentional binding,,2025.1.1,60.126831538440044,2025-11-04 22h01.53.632843 +0530,
0.1,1000,exp,5,5,0,space,0.6047880999999506,None,999,1,[3.694622200000026],[3.694632899999988],0,5,5,15,31.1512788,,31.135922100000016,31.1512788,32.15101860000004,32.15101860000004,32.15101860000004,32.77010819999998,space,0.6047880999999506,None,32.770958500000006,32.86940286666665,33.19133970000007,33.171222899999975,33.17190310000001,33.19133970000007,33.19133970000007,33.19133970000007,36.88637300000005,999,1,[3.694622200000026],[3.694632899999988],192227,001,2025-11-04_22h01.40.694,intentional binding,,2025.1.1,60.126831538440044,2025-11-04 22h01.53.632843 +0530,
0.7,1000,exp,6,6,0,space,1.2803642999999738,None,999,1,[1.558572599999934],[1.5585869999999886],0,6,6,8,36.90134350000005,,36.88667320000002,36.90134350000005,37.88622900000007,37.88622900000007,37.90355020000004,39.16995589999999,space,1.2803642999999738,None,39.17094559999998,39.86934156666668,40.19325260000005,40.17061480000007,40.171273799999994,40.19325260000005,40.19325260000005,40.19325260000005,41.7522907,999,1,[1.558572599999934],[1.5585869999999886],192227,001,2025-11-04_22h01.40.694,intentional binding,,2025.1.1,60.126831538440044,2025-11-04 22h01.53.632843 +0530,
0.7,1000,exp,7,7,0,space,1.8394518000000062,None,999,1,[1.288515699999948],[1.2885258000000022],0,7,7,5,41.76777000000004,,41.752602300000035,41.76777000000004,42.76819350000005,42.76819350000005,42.76819350000005,44.620314800000074,space,1.8394518000000062,None,44.62121109999998,45.33449656666666,45.64636680000001,45.629472299999975,45.63000729999999,45.64636680000001,45.64636680000001,45.64636680000001,46.93527110000002,999,1,[1.288515699999948],[1.2885258000000022],192227,001,2025-11-04_22h01.40.694,intentional binding,,2025.1.1,60.126831538440044,2025-11-04 22h01.53.632843 +0530,
0.1,1000,exp,8,8,0,space,1.4089447000000064,None,600,1,[3.130262400000106],[3.130272600000012],0,8,8,9,46.95163230000003,,46.93566810000004,46.95163230000003,47.934381200000075,47.934381200000075,47.95096620000004,49.35393750000003,space,1.4089447000000064,None,49.355015200000025,49.46913246666669,49.78752470000006,49.767966,49.7687962,49.78752470000006,49.78752470000006,49.78752470000006,52.91818390000003,600,1,[3.130262400000106],[3.130272600000012],192227,001,2025-11-04_22h01.40.694,intentional binding,,2025.1.1,60.126831538440044,2025-11-04 22h01.53.632843 +0530,
0.4,1000,exp,9,9,0,space,2.984148199999936,None,999,1,[1.9960102000000006],[1.9960244999999759],0,9,9,7,52.9347037,,52.918508400000064,52.9347037,53.91788759999997,53.91788759999997,53.93468459999997,56.90461890000006,space,2.984148199999936,None,56.905723100000046,57.319822266666634,57.63975860000005,57.619474800000035,57.62034140000003,57.63975860000005,57.63975860000005,57.63975860000005,59.63635380000005,999,1,[1.9960102000000006],[1.9960244999999759],192227,001,2025-11-04_22h01.40.694,intentional binding,,2025.1.1,60.126831538440044,2025-11-04 22h01.53.632843 +0530,
