thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.225)],[np.float64(0.1537037037037037)],[1],[0],[0],[2.763115800000378],['target'],0,0,0,0,0.07784579999952257,,10,0.05726409999988391,0.07784579999952257,0.07784579999952257,0.05730839999978343,2.820489699999598,[np.float64(0.225)],[np.float64(0.1537037037037037)],[1],[0],[0],[2.763115800000378],['target'],par_5_final,001,2025-09-30_12h28.39.927,visual search,,2025.1.1,60.17734262855911,2025-09-30 12h28.48.149498 +0530,
1,0,1,[np.float64(0.011111111111111112)],[np.float64(0.11388888888888889)],[1],[0],[0],[2.23276850000002],['target'],1,0,1,0,2.8715998999996373,,10,2.8525369999997565,2.8715998999996373,2.8715998999996373,0.031793199999810895,5.085430699999961,[np.float64(0.011111111111111112)],[np.float64(0.11388888888888889)],[1],[0],[0],[2.23276850000002],['target'],par_5_final,001,2025-09-30_12h28.39.927,visual search,,2025.1.1,60.17734262855911,2025-09-30 12h28.48.149498 +0530,
2,0,2,[np.float64(0.3675925925925926)],[np.float64(-0.3)],[1],[0],[0],[2.7501771000006556],['target'],2,0,2,0,5.11754049999945,,5,5.103825000000143,5.11754049999945,5.11754049999945,0.01809490000050573,7.854095900000175,[np.float64(0.3675925925925926)],[np.float64(-0.3)],[1],[0],[0],[2.7501771000006556],['target'],par_5_final,001,2025-09-30_12h28.39.927,visual search,,2025.1.1,60.17734262855911,2025-09-30 12h28.48.149498 +0530,
3,0,3,[np.float64(0.041666666666666664)],[np.float64(-0.3787037037037037)],[1],[0],[0],[3.5279724000001806],['target'],3,0,3,0,7.911005599999953,,10,7.8913950999994995,7.911005599999953,7.911005599999953,0.03711939999993774,11.419476699999905,[np.float64(0.041666666666666664)],[np.float64(-0.3787037037037037)],[1],[0],[0],[3.5279724000001806],['target'],par_5_final,001,2025-09-30_12h28.39.927,visual search,,2025.1.1,60.17734262855911,2025-09-30 12h28.48.149498 +0530,
4,0,4,[np.float64(0.025925925925925925)],[np.float64(0.030555555555555555)],[1],[0],[0],[1.7981104000000414],[None],4,0,4,0,11.473891900000126,,10,11.454868300000271,11.473891900000126,11.473891900000126,0.03503350000028149,13.253074499999457,[np.float64(0.025925925925925925)],[np.float64(0.030555555555555555)],[1],[0],[0],[1.7981104000000414],[None],par_5_final,001,2025-09-30_12h28.39.927,visual search,,2025.1.1,60.17734262855911,2025-09-30 12h28.48.149498 +0530,
5,0,5,[np.float64(-0.1787037037037037)],[np.float64(0.05)],[1],[0],[0],[1.1474885999996332],[None],5,0,5,0,13.30688629999986,,10,13.288380599999982,13.30688629999986,13.30688629999986,0.03509459999986575,14.43596609999986,[np.float64(-0.1787037037037037)],[np.float64(0.05)],[1],[0],[0],[1.1474885999996332],[None],par_5_final,001,2025-09-30_12h28.39.927,visual search,,2025.1.1,60.17734262855911,2025-09-30 12h28.48.149498 +0530,
6,0,6,[np.float64(-0.31851851851851853)],[np.float64(-0.42685185185185187)],[1],[0],[0],[1.5654803999996147],['target'],6,0,6,0,14.467773800000032,,5,14.45386099999996,14.467773800000032,14.467773800000032,0.017682200000308512,16.01943299999948,[np.float64(-0.31851851851851853)],[np.float64(-0.42685185185185187)],[1],[0],[0],[1.5654803999996147],['target'],par_5_final,001,2025-09-30_12h28.39.927,visual search,,2025.1.1,60.17734262855911,2025-09-30 12h28.48.149498 +0530,
7,0,7,[np.float64(0.21574074074074073)],[np.float64(0.2611111111111111)],[1],[0],[0],[1.6480368000002272],[None],7,0,7,0,16.073862100000042,,10,16.055090899999414,16.073862100000042,16.073862100000042,0.03548600000067381,17.703250800000205,[np.float64(0.21574074074074073)],[np.float64(0.2611111111111111)],[1],[0],[0],[1.6480368000002272],[None],par_5_final,001,2025-09-30_12h28.39.927,visual search,,2025.1.1,60.17734262855911,2025-09-30 12h28.48.149498 +0530,
8,0,8,[np.float64(-0.18796296296296297)],[np.float64(-0.20555555555555555)],[1],[0],[0],[2.596411999999873],['target'],8,0,8,0,17.75818590000017,,10,17.739139700000123,17.75818590000017,17.75818590000017,0.03566260000025068,20.335645199999817,[np.float64(-0.18796296296296297)],[np.float64(-0.20555555555555555)],[1],[0],[0],[2.596411999999873],['target'],par_5_final,001,2025-09-30_12h28.39.927,visual search,,2025.1.1,60.17734262855911,2025-09-30 12h28.48.149498 +0530,
9,0,9,[np.float64(-0.05277777777777778)],[np.float64(-0.225)],[1],[0],[0],[1.798948699999528],[None],9,0,9,0,20.390868200000114,,10,20.371654800000215,20.390868200000114,20.390868200000114,0.03578190000007453,22.17069569999967,[np.float64(-0.05277777777777778)],[np.float64(-0.225)],[1],[0],[0],[1.798948699999528],[None],par_5_final,001,2025-09-30_12h28.39.927,visual search,,2025.1.1,60.17734262855911,2025-09-30 12h28.48.149498 +0530,
