trialno,Condition,Stimulus,Target,Correct_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,stimulus.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
2,C,>>>>>,> ,right,41,1,10,right,1,1.0225116000000298,None,10,1,41,1,93.3757923,,93.36283430000003,93.3757923,93.3757923,93.85911340000001,93.87583260000002,94.40976560000001,right,1,1.0225116000000298,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
4,I,<<><<,> ,right,42,2,10,left,0,1.98029200000002,None,10,2,42,3,94.4258777,,94.41309619999998,94.4258777,94.4258777,94.90919660000003,94.92611260000001,96.40935629999996,left,0,1.98029200000002,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
1,C,<<<<<,<,left,43,3,10,left,1,1.1398927999999842,None,10,3,43,0,96.4259159,,96.41217460000001,96.4259159,96.4259159,96.9092827,96.92586009999997,97.57656309999999,left,1,1.1398927999999842,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
3,I,>>><>,<,left,44,0,11,right,0,2.3396863000000394,None,11,0,44,2,97.5923482,,97.57927169999999,97.5923482,97.5923482,98.07598990000002,98.09271189999998,99.9434402,right,0,2.3396863000000394,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
4,I,<<><<,> ,right,45,1,11,left,0,3.5339119999999866,None,11,1,45,3,99.95881679999997,,99.94676510000005,99.95881679999997,99.95881679999997,100.45951689999998,100.45951689999998,103.49351210000003,left,0,3.5339119999999866,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
2,C,>>>>>,> ,right,46,2,11,right,1,1.130342300000052,None,11,2,46,1,103.50922150000002,,103.4964521,103.50922150000002,103.50922150000002,103.99265440000005,104.00945959999996,104.64296780000001,right,1,1.130342300000052,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
1,C,<<<<<,<,left,47,3,11,left,1,1.8667998000000807,None,11,3,47,0,104.65903320000001,,104.64577349999996,104.65903320000001,104.65903320000001,105.14266830000003,105.15935099999996,106.52660589999999,left,1,1.8667998000000807,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
4,I,<<><<,> ,right,48,0,12,right,1,3.7898126000000047,None,12,0,48,3,106.54252160000004,,106.53001169999999,106.54252160000004,106.54252160000004,107.02610999999996,107.0425505,110.34314,right,1,3.7898126000000047,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
1,C,<<<<<,<,left,49,1,12,left,1,1.2187857999999778,None,12,1,49,0,110.35914440000005,,110.3461848,110.35914440000005,110.35914440000005,110.84285660000006,110.85932440000005,111.59313260000005,left,1,1.2187857999999778,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
3,I,>>><>,<,left,50,2,12,left,1,2.125069799999892,None,12,2,50,2,111.60923859999997,,111.59604780000001,111.60923859999997,111.60923859999997,112.09265090000002,112.10930149999996,113.74688559999998,left,1,2.125069799999892,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
2,C,>>>>>,> ,right,51,3,12,left,0,1.3457063000000744,None,12,3,51,1,113.75988569999998,,113.75032479999999,113.75988569999998,113.75988569999998,114.25939050000005,114.25939050000005,115.1097775,left,0,1.3457063000000744,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
4,I,<<><<,> ,right,52,0,13,right,1,3.1767092999999704,None,13,0,52,3,115.12606420000003,,115.11261010000004,115.12606420000003,115.12606420000003,115.60922080000006,115.62586809999999,118.3099398,right,1,3.1767092999999704,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
1,C,<<<<<,<,left,53,1,13,left,1,0.9770211000000018,None,13,1,53,0,118.32588179999999,,118.3131864,118.32588179999999,118.32588179999999,118.80937209999996,118.82605059999997,119.3100212,left,1,0.9770211000000018,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
3,I,>>><>,<,left,54,2,13,right,0,2.043807700000002,None,13,2,54,2,119.32598149999995,,119.31333560000002,119.32598149999995,119.32598149999995,119.82622899999996,119.82622899999996,121.37692399999997,right,0,2.043807700000002,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
2,C,>>>>>,> ,right,55,3,13,right,1,1.4801436000000194,None,13,3,55,1,121.39282580000003,,121.37966569999998,121.39282580000003,121.39282580000003,121.89264129999998,121.89264129999998,122.8763889,right,1,1.4801436000000194,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
1,C,<<<<<,<,left,56,0,14,left,1,1.5475896000000375,None,14,0,56,0,122.89235850000006,,122.87909150000002,122.89235850000006,122.89235850000006,123.37612029999997,123.39286009999995,124.4429045,left,1,1.5475896000000375,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
3,I,>>><>,<,left,57,1,14,left,1,2.8011778999999706,None,14,1,57,2,124.4592859,,124.44625590000004,124.4592859,124.4592859,124.9427791,124.95943210000001,127.27682950000002,left,1,2.8011778999999706,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
2,C,>>>>>,> ,right,58,2,14,right,1,1.2873028000000204,None,14,2,58,1,127.29309730000006,,127.28006610000006,127.29309730000006,127.29309730000006,127.79279260000004,127.79279260000004,128.5932495,right,1,1.2873028000000204,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
4,I,<<><<,> ,right,59,3,14,left,0,4.040671100000054,None,14,3,59,3,128.60933230000006,,128.59618930000005,128.60933230000006,128.60933230000006,129.09264690000003,129.1094,132.659922,left,0,4.040671100000054,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
3,I,>>><>,<,left,60,0,15,right,0,1.8474264000000176,None,15,0,60,2,132.67557670000002,,132.66338460000003,132.67557670000002,132.67557670000002,133.15946730000002,133.1763643,134.52654060000003,right,0,1.8474264000000176,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
2,C,>>>>>,> ,right,61,1,15,right,1,1.069482799999946,None,15,1,61,1,134.54287919999996,,134.52945749999998,134.54287919999996,134.54287919999996,135.02607430000006,135.04292230000004,135.62670020000002,right,1,1.069482799999946,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
1,C,<<<<<,<,left,62,2,15,left,1,1.3556809999998904,None,15,2,62,0,135.64275160000005,,135.62967410000005,135.64275160000005,135.64275160000005,136.12614330000002,136.14274670000003,137.01013949999998,left,1,1.3556809999998904,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
4,I,<<><<,> ,right,63,3,15,right,1,2.683177600000022,None,15,3,63,3,137.02594219999997,,137.01326050000006,137.02594219999997,137.02594219999997,137.50946089999997,137.52605120000004,139.71039479999996,right,1,2.683177600000022,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
2,C,>>>>>,> ,right,64,0,16,right,1,1.0150908000000527,None,16,0,64,1,139.72569089999996,,139.71326570000002,139.72569089999996,139.72569089999996,140.22603180000004,140.22603180000004,140.7436581,right,1,1.0150908000000527,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
1,C,<<<<<,<,left,65,1,16,left,1,1.6673447999999098,None,16,1,65,0,140.75916669999998,,140.74660079999995,140.75916669999998,140.75916669999998,141.2595951,141.2595951,142.44359879999996,left,1,1.6673447999999098,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
4,I,<<><<,> ,right,66,2,16,left,0,3.9957200999999714,None,16,2,66,3,142.459546,,142.44806,142.459546,142.459546,142.9427718,142.95944560000004,146.46028129999996,left,0,3.9957200999999714,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
3,I,>>><>,<,left,67,3,16,left,1,4.2068210999999565,None,16,3,67,2,146.47609040000003,,146.46298670000004,146.47609040000003,146.47609040000003,146.95939430000004,146.97616120000004,150.69354909999998,left,1,4.2068210999999565,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
2,C,>>>>>,> ,right,68,0,17,right,1,1.0300972999999658,None,17,0,68,1,150.70941269999997,,150.6965118,150.70941269999997,150.70941269999997,151.1928638,151.2093173,151.7429229,right,1,1.0300972999999658,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
1,C,<<<<<,<,left,69,1,17,left,1,1.1693274000000429,None,17,1,69,0,151.75954629999995,,151.7461745,151.75954629999995,151.75954629999995,152.242726,152.25955059999995,152.94353730000006,left,1,1.1693274000000429,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
3,I,>>><>,<,left,70,2,17,left,1,1.4794372000000067,None,17,2,70,2,152.9597941,,152.9466349,152.9597941,152.9597941,153.44260100000002,153.45915810000002,154.44320720000002,left,1,1.4794372000000067,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
4,I,<<><<,> ,right,71,3,17,right,1,2.0223588000000063,None,17,3,71,3,154.4596095,,154.4460376,154.4596095,154.4596095,154.94277359999995,154.95966149999998,156.49350940000005,right,1,2.0223588000000063,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
2,C,>>>>>,> ,right,72,0,18,right,1,2.150314099999946,None,18,0,72,1,156.5096716,,156.4969309,156.5096716,156.5096716,156.99267609999998,157.00964240000002,158.67694720000003,right,1,2.150314099999946,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
