reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
32,78,14,0,0,0,l,3.1983529000000317,None,0,0,0,62,0.14007739999999558,,0.13133649999997488,0.14007739999999558,1.00570909999999,1.00570909999999,1.1544996000000083,4.29183009999997,l,3.1983529000000317,None,505,001,2025-10-30_13h02.12.390,delay_discounting,,2025.1.1,60.13981303736274,2025-10-30 13h02.25.193468 +0530,
25,50,62,1,1,0,l,1.1312986000000365,None,0,1,1,70,4.310216500000024,,4.302159500000016,4.310216500000024,5.304252799999972,5.304252799999972,5.3208247999999685,6.438313100000073,l,1.1312986000000365,None,505,001,2025-10-30_13h02.12.390,delay_discounting,,2025.1.1,60.13981303736274,2025-10-30 13h02.25.193468 +0530,
77,91,101,2,2,0,l,1.414654300000052,None,0,2,2,55,6.455572000000075,,6.446856000000025,6.455572000000075,7.437610300000074,7.437610300000074,7.470936300000062,8.855169799999999,l,1.414654300000052,None,505,001,2025-10-30_13h02.12.390,delay_discounting,,2025.1.1,60.13981303736274,2025-10-30 13h02.25.193468 +0530,
17,84,90,3,3,0,l,0.9569984999999406,None,0,3,3,2,8.871180800000047,,8.859685500000069,8.871180800000047,9.870815600000014,9.870815600000014,9.870815600000014,10.838279599999964,l,0.9569984999999406,None,505,001,2025-10-30_13h02.12.390,delay_discounting,,2025.1.1,60.13981303736274,2025-10-30 13h02.25.193468 +0530,
20,62,60,4,4,0,t,2.5020549000000756,None,0,4,4,61,10.854008799999974,,10.842651499999988,10.854008799999974,11.837691199999995,11.837691199999995,11.854189900000051,14.35488840000005,t,2.5020549000000756,None,505,001,2025-10-30_13h02.12.390,delay_discounting,,2025.1.1,60.13981303736274,2025-10-30 13h02.25.193468 +0530,
42,80,3,5,5,0,l,1.6263587999999345,None,0,5,5,63,14.370689999999968,,14.35958800000003,14.370689999999968,15.35424439999997,15.35424439999997,15.371123399999988,16.98797669999999,l,1.6263587999999345,None,505,001,2025-10-30_13h02.12.390,delay_discounting,,2025.1.1,60.13981303736274,2025-10-30 13h02.25.193468 +0530,
42,65,60,6,6,0,l,2.881265800000051,None,0,6,6,88,17.00495430000001,,16.992213200000037,17.00495430000001,17.98748510000007,17.98748510000007,18.004192699999976,20.871597800000018,l,2.881265800000051,None,505,001,2025-10-30_13h02.12.390,delay_discounting,,2025.1.1,60.13981303736274,2025-10-30 13h02.25.193468 +0530,
21,44,90,7,7,0,t,2.4864858000000822,None,0,7,7,19,20.887663999999972,,20.875898800000073,20.887663999999972,21.870918200000006,21.870918200000006,21.887721599999963,24.371489399999973,t,2.4864858000000822,None,505,001,2025-10-30_13h02.12.390,delay_discounting,,2025.1.1,60.13981303736274,2025-10-30 13h02.25.193468 +0530,
43,68,76,8,8,0,l,1.4682636999999659,None,0,8,8,34,24.387334699999997,,24.375874700000054,24.387334699999997,25.37090550000005,25.37090550000005,25.387857199999985,26.855018299999983,l,1.4682636999999659,None,505,001,2025-10-30_13h02.12.390,delay_discounting,,2025.1.1,60.13981303736274,2025-10-30 13h02.25.193468 +0530,
54,76,67,9,9,0,l,7.014639200000033,None,0,9,9,21,26.870881600000075,,26.859447899999964,26.870881600000075,27.870754799999986,27.870754799999986,27.870754799999986,34.88836560000004,l,7.014639200000033,None,505,001,2025-10-30_13h02.12.390,delay_discounting,,2025.1.1,60.13981303736274,2025-10-30 13h02.25.193468 +0530,
