thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.175)],[np.float64(0.27870370370370373)],[1],[0],[0],[1.4245145999998385],[None],0,0,0,0,0.07841389999975945,,10,0.056229199999961565,0.07841389999975945,0.07841389999975945,0.056274000000030355,1.4809181999999055,[np.float64(0.175)],[np.float64(0.27870370370370373)],[1],[0],[0],[1.4245145999998385],[None],par_2_final,001,2025-09-30_11h57.18.644,visual search,,2025.1.1,59.94646780433818,2025-09-30 11h57.28.085968 +0530,
1,0,1,[np.float64(-0.44166666666666665)],[np.float64(-0.3351851851851852)],[1],[0],[0],[1.3316777000000002],[None],1,0,1,0,1.5446219000000383,,10,1.5246084000000337,1.5446219000000383,1.5446219000000383,0.043316199999935634,2.8563709000000017,[np.float64(-0.44166666666666665)],[np.float64(-0.3351851851851852)],[1],[0],[0],[1.3316777000000002],[None],par_2_final,001,2025-09-30_11h57.18.644,visual search,,2025.1.1,59.94646780433818,2025-09-30 11h57.28.085968 +0530,
2,0,2,[np.float64(0.42407407407407405)],[np.float64(-0.3574074074074074)],[1],[0],[0],[1.6257696000002397],['target'],2,0,2,0,2.9198621000000458,,10,2.8968276000000515,2.9198621000000458,2.9198621000000458,0.04022639999993771,4.522646299999906,[np.float64(0.42407407407407405)],[np.float64(-0.3574074074074074)],[1],[0],[0],[1.6257696000002397],['target'],par_2_final,001,2025-09-30_11h57.18.644,visual search,,2025.1.1,59.94646780433818,2025-09-30 11h57.28.085968 +0530,
3,0,3,[np.float64(-0.030555555555555555)],[np.float64(0.1388888888888889)],[1],[0],[0],[1.3965899999998328],['target'],3,0,3,0,4.558447599999909,,5,4.54335779999974,4.558447599999909,4.558447599999909,0.02046909999990021,5.9400737999999365,[np.float64(-0.030555555555555555)],[np.float64(0.1388888888888889)],[1],[0],[0],[1.3965899999998328],['target'],par_2_final,001,2025-09-30_11h57.18.644,visual search,,2025.1.1,59.94646780433818,2025-09-30 11h57.28.085968 +0530,
4,0,4,[np.float64(-0.47129629629629627)],[np.float64(-0.3333333333333333)],[1],[0],[0],[0.8780646000000161],[None],4,0,4,0,5.976228099999844,,5,5.961148399999729,5.976228099999844,5.976228099999844,0.020813000000089232,6.839312999999947,[np.float64(-0.47129629629629627)],[np.float64(-0.3333333333333333)],[1],[0],[0],[0.8780646000000161],[None],par_2_final,001,2025-09-30_11h57.18.644,visual search,,2025.1.1,59.94646780433818,2025-09-30 11h57.28.085968 +0530,
5,0,5,[np.float64(0.28703703703703703)],[np.float64(0.14074074074074075)],[1],[0],[0],[0.6805427999997846],[None],5,0,5,0,6.894495900000038,,10,6.875316599999678,6.894495900000038,6.894495900000038,0.035819400000036694,7.555971100000079,[np.float64(0.28703703703703703)],[np.float64(0.14074074074074075)],[1],[0],[0],[0.6805427999997846],[None],par_2_final,001,2025-09-30_11h57.18.644,visual search,,2025.1.1,59.94646780433818,2025-09-30 11h57.28.085968 +0530,
6,0,6,[np.float64(-0.2212962962962963)],[np.float64(-0.23148148148148148)],[1],[0],[0],[0.3817417000000205],[None],6,0,6,0,7.589273999999932,,5,7.57490370000005,7.589273999999932,7.589273999999932,0.01868400000012116,7.956763799999862,[np.float64(-0.2212962962962963)],[np.float64(-0.23148148148148148)],[1],[0],[0],[0.3817417000000205],[None],par_2_final,001,2025-09-30_11h57.18.644,visual search,,2025.1.1,59.94646780433818,2025-09-30 11h57.28.085968 +0530,
7,0,7,[np.float64(-0.08981481481481482)],[np.float64(-0.12777777777777777)],[1],[0],[0],[1.3371729000000414],['target'],7,0,7,0,8.158026999999947,,10,8.135423199999877,8.158026999999947,8.158026999999947,0.17845020000004297,9.472700100000111,[np.float64(-0.08981481481481482)],[np.float64(-0.12777777777777777)],[1],[0],[0],[1.3371729000000414],['target'],par_2_final,001,2025-09-30_11h57.18.644,visual search,,2025.1.1,59.94646780433818,2025-09-30 11h57.28.085968 +0530,
8,0,8,[np.float64(-0.3351851851851852)],[np.float64(0.4388888888888889)],[1],[0],[0],[1.2984825999997156],['target'],8,0,8,0,9.504816399999982,,5,9.491446099999848,9.504816399999982,9.504816399999982,0.01852499999995416,10.790025499999956,[np.float64(-0.3351851851851852)],[np.float64(0.4388888888888889)],[1],[0],[0],[1.2984825999997156],['target'],par_2_final,001,2025-09-30_11h57.18.644,visual search,,2025.1.1,59.94646780433818,2025-09-30 11h57.28.085968 +0530,
9,0,9,[np.float64(-0.22870370370370371)],[np.float64(0.27314814814814814)],[1],[0],[0],[0.8094137999996747],['target'],9,0,9,0,10.850634099999752,,10,10.829366899999968,10.850634099999752,10.850634099999752,0.039122000000133994,11.638910000000124,[np.float64(-0.22870370370370371)],[np.float64(0.27314814814814814)],[1],[0],[0],[0.8094137999996747],['target'],par_2_final,001,2025-09-30_11h57.18.644,visual search,,2025.1.1,59.94646780433818,2025-09-30 11h57.28.085968 +0530,
