thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.23425925925925925)],[np.float64(0.24814814814814815)],[1],[0],[0],[1.6409985000000233],['target'],0,0,0,0,0.05868749999990541,,5,0.03961020000042481,0.05868749999990541,0.05868749999990541,0.039676800000052026,1.6807042999998885,[np.float64(-0.23425925925925925)],[np.float64(0.24814814814814815)],[1],[0],[0],[1.6409985000000233],['target'],par_4_final,001,2025-09-30_12h22.28.161,visual search,,2025.1.1,59.94754589746534,2025-09-30 12h22.37.387381 +0530,
1,0,1,[np.float64(0.05648148148148148)],[np.float64(-0.49907407407407406)],[1],[0],[0],[1.8151686999999583],[None],1,0,1,0,1.7379471000003832,,10,1.7161094000002777,1.7379471000003832,1.7379471000003832,0.035221300000557676,3.5313858999998047,[np.float64(0.05648148148148148)],[np.float64(-0.49907407407407406)],[1],[0],[0],[1.8151686999999583],[None],par_4_final,001,2025-09-30_12h22.28.161,visual search,,2025.1.1,59.94754589746534,2025-09-30 12h22.37.387381 +0530,
2,0,2,[np.float64(-0.021296296296296296)],[np.float64(0.2833333333333333)],[1],[0],[0],[1.2818193000002793],['target'],2,0,2,0,3.563168100000439,,5,3.549425600000177,3.563168100000439,3.563168100000439,0.017828499999268388,4.831332900000234,[np.float64(-0.021296296296296296)],[np.float64(0.2833333333333333)],[1],[0],[0],[1.2818193000002793],['target'],par_4_final,001,2025-09-30_12h22.28.161,visual search,,2025.1.1,59.94754589746534,2025-09-30 12h22.37.387381 +0530,
3,0,3,[np.float64(-0.08518518518518518)],[np.float64(0.25)],[1],[0],[0],[0.8480729000002611],[None],3,0,3,0,4.863682199999857,,5,4.849638499999855,4.863682199999857,4.863682199999857,0.01815009999972972,5.697815900000023,[np.float64(-0.08518518518518518)],[np.float64(0.25)],[1],[0],[0],[0.8480729000002611],[None],par_4_final,001,2025-09-30_12h22.28.161,visual search,,2025.1.1,59.94754589746534,2025-09-30 12h22.37.387381 +0530,
4,0,4,[np.float64(0.18518518518518517)],[np.float64(0.04259259259259259)],[1],[0],[0],[1.1303258999996615],['target'],4,0,4,0,5.7303686000004745,,5,5.716592800000399,5.7303686000004745,5.7303686000004745,0.01860910000050353,6.847060300000521,[np.float64(0.18518518518518517)],[np.float64(0.04259259259259259)],[1],[0],[0],[1.1303258999996615],['target'],par_4_final,001,2025-09-30_12h22.28.161,visual search,,2025.1.1,59.94754589746534,2025-09-30 12h22.37.387381 +0530,
5,0,5,[np.float64(0.075)],[np.float64(0.2222222222222222)],[1],[0],[0],[0.9960943999994925],['target'],5,0,5,0,6.882508800000323,,5,6.868070700000317,6.882508800000323,6.882508800000323,0.020661200000176905,7.864259400000265,[np.float64(0.075)],[np.float64(0.2222222222222222)],[1],[0],[0],[0.9960943999994925],['target'],par_4_final,001,2025-09-30_12h22.28.161,visual search,,2025.1.1,59.94754589746534,2025-09-30 12h22.37.387381 +0530,
6,0,6,[np.float64(0.08888888888888889)],[np.float64(0.4212962962962963)],[1],[0],[0],[1.063194399999702],['target'],6,0,6,0,7.919328699999824,,10,7.900497300000097,7.919328699999824,7.919328699999824,0.03606560000025638,8.963819999999942,[np.float64(0.08888888888888889)],[np.float64(0.4212962962962963)],[1],[0],[0],[1.063194399999702],['target'],par_4_final,001,2025-09-30_12h22.28.161,visual search,,2025.1.1,59.94754589746534,2025-09-30 12h22.37.387381 +0530,
7,0,7,[np.float64(0.5472222222222223)],[np.float64(0.30185185185185187)],[1],[0],[0],[1.3471708000006402],[None],7,0,7,0,9.021132300000318,,10,9.002410000000054,9.021132300000318,9.021132300000318,0.038382499999897846,10.346975600000405,[np.float64(0.5472222222222223)],[np.float64(0.30185185185185187)],[1],[0],[0],[1.3471708000006402],[None],par_4_final,001,2025-09-30_12h22.28.161,visual search,,2025.1.1,59.94754589746534,2025-09-30 12h22.37.387381 +0530,
8,0,8,[np.float64(0.21944444444444444)],[np.float64(-0.487962962962963)],[1],[0],[0],[1.5819267999995645],[None],8,0,8,0,10.520286900000428,,5,10.365945999999894,10.520286900000428,10.520286900000428,0.01865130000078352,11.947977599999831,[np.float64(0.21944444444444444)],[np.float64(-0.487962962962963)],[1],[0],[0],[1.5819267999995645],[None],par_4_final,001,2025-09-30_12h22.28.161,visual search,,2025.1.1,59.94754589746534,2025-09-30 12h22.37.387381 +0530,
9,0,9,[np.float64(-0.2638888888888889)],[np.float64(0.4685185185185185)],[1],[0],[0],[1.1331151000003956],[None],9,0,9,0,11.978345399999853,,5,11.96470540000064,11.978345399999853,11.978345399999853,0.016524200000276323,13.097913200000221,[np.float64(-0.2638888888888889)],[np.float64(0.4685185185185185)],[1],[0],[0],[1.1331151000003956],[None],par_4_final,001,2025-09-30_12h22.28.161,visual search,,2025.1.1,59.94754589746534,2025-09-30 12h22.37.387381 +0530,
