reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
77,126,143,0,0,0,l,1.8773137999996834,None,0,0,0,71,0.122929799999838,,0.11436580000008689,0.122929799999838,1.0072973000001184,1.0072973000001184,1.1238758999998026,2.8986667999997735,l,1.8773137999996834,None,305,001,2025-10-30_12h04.41.720,delay_discounting,,2025.1.1,60.08615152406037,2025-10-30 12h08.59.722236 +0530,
40,49,90,1,1,0,t,2.01711559999967,None,0,1,1,59,2.9152592999998888,,2.906561799999963,2.9152592999998888,3.9067372999998042,3.9067372999998042,3.9237339000001157,5.924523600000157,t,2.01711559999967,None,305,001,2025-10-30_12h04.41.720,delay_discounting,,2025.1.1,60.08615152406037,2025-10-30 12h08.59.722236 +0530,
78,101,30,2,2,0,t,1.8644762000003539,None,0,2,2,54,5.943359200000032,,5.933890100000099,5.943359200000032,6.923868500000026,6.923868500000026,6.957358099999965,8.79108529999985,t,1.8644762000003539,None,305,001,2025-10-30_12h04.41.720,delay_discounting,,2025.1.1,60.08615152406037,2025-10-30 12h08.59.722236 +0530,
59,119,127,3,3,0,t,3.97567140000001,None,0,3,3,69,8.80837849999989,,8.799533299999894,8.80837849999989,9.790179900000112,9.790179900000112,9.82392230000005,13.774822299999869,t,3.97567140000001,None,305,001,2025-10-30_12h04.41.720,delay_discounting,,2025.1.1,60.08615152406037,2025-10-30 12h08.59.722236 +0530,
66,135,14,4,4,0,l,1.6259605999998712,None,0,4,4,53,13.790075200000047,,13.779613700000027,13.790075200000047,14.773816500000066,14.773816500000066,14.790509800000109,16.407578100000137,l,1.6259605999998712,None,305,001,2025-10-30_12h04.41.720,delay_discounting,,2025.1.1,60.08615152406037,2025-10-30 12h08.59.722236 +0530,
33,46,90,5,5,0,l,2.3029664000000594,None,0,5,5,31,16.423412999999982,,16.41178459999992,16.423412999999982,17.407163500000024,17.407163500000024,17.424118200000066,19.724394500000017,l,2.3029664000000594,None,305,001,2025-10-30_12h04.41.720,delay_discounting,,2025.1.1,60.08615152406037,2025-10-30 12h08.59.722236 +0530,
42,80,3,6,6,0,l,1.3507810000000973,None,0,6,6,63,19.740387800000008,,19.730099800000062,19.740387800000008,20.723704200000157,20.723704200000157,20.74050440000019,22.091221900000164,l,1.3507810000000973,None,305,001,2025-10-30_12h04.41.720,delay_discounting,,2025.1.1,60.08615152406037,2025-10-30 12h08.59.722236 +0530,
78,166,130,7,7,0,l,2.6949044000002687,None,0,7,7,29,22.107233799999904,,22.095689899999797,22.107233799999904,23.107156799999757,23.107156799999757,23.107156799999757,25.80760109999983,l,2.6949044000002687,None,305,001,2025-10-30_12h04.41.720,delay_discounting,,2025.1.1,60.08615152406037,2025-10-30 12h08.59.722236 +0530,
70,105,117,8,8,0,t,1.4472663999999895,None,0,8,8,77,25.824344099999962,,25.811866999999893,25.824344099999962,26.807342499999777,26.807342499999777,26.824075999999877,28.25772790000019,t,1.4472663999999895,None,305,001,2025-10-30_12h04.41.720,delay_discounting,,2025.1.1,60.08615152406037,2025-10-30 12h08.59.722236 +0530,
26,59,60,9,9,0,t,2.8405346999998073,None,0,9,9,97,28.2742188000002,,28.261840199999824,28.2742188000002,29.25719769999978,29.25719769999978,29.274131000000125,32.108002899999974,t,2.8405346999998073,None,305,001,2025-10-30_12h04.41.720,delay_discounting,,2025.1.1,60.08615152406037,2025-10-30 12h08.59.722236 +0530,
69,112,150,10,10,0,l,2.874180599999818,None,0,10,10,4,32.12375949999978,,32.11245090000011,32.12375949999978,33.10736270000007,33.10736270000007,33.12406869999995,35.991272299999764,l,2.874180599999818,None,305,001,2025-10-30_12h04.41.720,delay_discounting,,2025.1.1,60.08615152406037,2025-10-30 12h08.59.722236 +0530,
42,52,60,11,11,0,l,1.8661036999997123,None,0,11,11,7,36.00728859999981,,35.99587359999987,36.00728859999981,36.990653700000166,36.990653700000166,37.007650699999886,38.85833679999996,l,1.8661036999997123,None,305,001,2025-10-30_12h04.41.720,delay_discounting,,2025.1.1,60.08615152406037,2025-10-30 12h08.59.722236 +0530,
22,41,17,12,12,0,l,1.6519892999999684,None,0,12,12,20,38.873774799999865,,38.86282990000018,38.873774799999865,39.8739144000001,39.8739144000001,39.8739144000001,41.540932899999916,l,1.6519892999999684,None,305,001,2025-10-30_12h04.41.720,delay_discounting,,2025.1.1,60.08615152406037,2025-10-30 12h08.59.722236 +0530,
69,90,30,13,13,0,l,1.750872900000104,None,0,13,13,14,41.55715220000002,,41.54533570000012,41.55715220000002,42.662371299999904,42.662371299999904,42.672977600000195,44.42475719999993,l,1.750872900000104,None,305,001,2025-10-30_12h04.41.720,delay_discounting,,2025.1.1,60.08615152406037,2025-10-30 12h08.59.722236 +0530,
