study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test,References,Old_New,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test_rotine.started,text_2.started,textbox.started,text_3.started,mouse.started,test_rotine.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
Pastry,0,0,0,1,2.6938875000000735,,,,,,,,,,,,0,0,0,9,,,,,0.06614889999991647,,0.03989069999988715,0.06614889999991647,0.06614889999991647,2.7490920000000187,1,2.6938875000000735,,,,,,,,,,,,,,,0001,001,2025-10-13_12h17.09.551,word priming,,2025.1.1,60.07864294357168,2025-10-13 12h17.19.578715 +0530,
Case,1,1,0,1,1.2455968999997822,,,,,,,,,,,,0,1,1,10,,,,,2.769514800000252,,2.755252400000245,2.769514800000252,2.769514800000252,4.015025499999865,1,1.2455968999997822,,,,,,,,,,,,,,,0001,001,2025-10-13_12h17.09.551,word priming,,2025.1.1,60.07864294357168,2025-10-13 12h17.19.578715 +0530,
Marble,2,2,0,1,0.6617144000001645,,,,,,,,,,,,0,2,2,3,,,,,4.035006099999919,,4.021551400000135,4.035006099999919,4.035006099999919,4.698314499999924,1,0.6617144000001645,,,,,,,,,,,,,,,0001,001,2025-10-13_12h17.09.551,word priming,,2025.1.1,60.07864294357168,2025-10-13 12h17.19.578715 +0530,
Board,3,3,0,1,0.7770889999997053,,,,,,,,,,,,0,3,3,4,,,,,4.7214107999998305,,4.706310200000189,4.7214107999998305,4.7214107999998305,5.498383399999966,1,0.7770889999997053,,,,,,,,,,,,,,,0001,001,2025-10-13_12h17.09.551,word priming,,2025.1.1,60.07864294357168,2025-10-13 12h17.19.578715 +0530,
Poster,4,4,0,2.285185185185185,1.5805858000003354,,,,,,,,,,,,0,4,4,14,,,,,5.51576040000009,,5.502095400000144,5.51576040000009,5.51576040000009,7.098353400000178,2.285185185185185,1.5805858000003354,,,,,,,,,,,,,,,0001,001,2025-10-13_12h17.09.551,word priming,,2025.1.1,60.07864294357168,2025-10-13 12h17.19.578715 +0530,
Chart,5,5,0,2.033333333333333,1.5939878000003773,,,,,,,,,,,,0,5,5,6,,,,,7.119532199999867,,7.105536900000061,7.119532199999867,7.119532199999867,8.714988799999901,2.033333333333333,1.5939878000003773,,,,,,,,,,,,,,,0001,001,2025-10-13_12h17.09.551,word priming,,2025.1.1,60.07864294357168,2025-10-13 12h17.19.578715 +0530,
Cushion,6,6,0,1.9296296296296296,1.060894200000348,,,,,,,,,,,,0,6,6,1,,,,,8.735744300000079,,8.721942000000126,8.735744300000079,8.735744300000079,9.798353000000134,1.9296296296296296,1.060894200000348,,,,,,,,,,,,,,,0001,001,2025-10-13_12h17.09.551,word priming,,2025.1.1,60.07864294357168,2025-10-13 12h17.19.578715 +0530,
T-shirt ,7,7,0,1.885185185185185,0.8925835999998526,,,,,,,,,,,,0,7,7,7,,,,,9.820433800000046,,9.806730499999958,9.820433800000046,9.820433800000046,10.714990599999965,1.885185185185185,0.8925835999998526,,,,,,,,,,,,,,,0001,001,2025-10-13_12h17.09.551,word priming,,2025.1.1,60.07864294357168,2025-10-13 12h17.19.578715 +0530,
Keys,8,8,0,1.9444444444444444,0.9105686999996578,,,,,,,,,,,,0,8,8,13,,,,,10.735589400000208,,10.722121199999947,10.735589400000208,10.735589400000208,11.648347899999862,1.9444444444444444,0.9105686999996578,,,,,,,,,,,,,,,0001,001,2025-10-13_12h17.09.551,word priming,,2025.1.1,60.07864294357168,2025-10-13 12h17.19.578715 +0530,
Phone,9,9,0,1.951851851851852,0.7974971999997251,,,,,,,,,,,,0,9,9,2,,,,,11.666525999999976,,11.652381299999888,11.666525999999976,11.666525999999976,12.464989699999933,1.951851851851852,0.7974971999997251,,,,,,,,,,,,,,,0001,001,2025-10-13_12h17.09.551,word priming,,2025.1.1,60.07864294357168,2025-10-13 12h17.19.578715 +0530,
