pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line_2.started,line_3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,0.7098722000000066,None,0,0,0,0,,,,,0.030099199999995108,,0.01977080000000342,0.030099199999995108,1.0056366999999966,1.0056366999999966,1.0056366999999966,1.0056366999999966,1.0391323999999997,2.0054943000000094,2.0054943000000094,2.8078716999999926,x,1,0.7098722000000066,None,,,,,par_4_mtr_seq,001,2025-10-01_22h47.00.991,untitled,,2025.1.1,60.02119948766625,2025-10-01 22h47.12.067456 +0530,
150,v,1,1,0,v,1,1.1814396999999985,None,0,1,1,1,,,,,2.817054200000001,,2.808428099999986,2.817054200000001,3.8221696999999892,3.8221696999999892,3.8221696999999892,3.8221696999999892,3.8221696999999892,4.822214000000002,4.822214000000002,6.00662220000001,v,1,1.1814396999999985,None,,,,,par_4_mtr_seq,001,2025-10-01_22h47.00.991,untitled,,2025.1.1,60.02119948766625,2025-10-01 22h47.12.067456 +0530,
50,c,2,2,0,c,1,0.9077210000000093,None,0,2,2,2,,,,,6.022358699999984,,6.007193699999988,6.022358699999984,7.022203599999983,7.022203599999983,7.022203599999983,7.022203599999983,7.022203599999983,8.022241600000001,8.022241600000001,8.939695999999998,c,1,0.9077210000000093,None,,,,,par_4_mtr_seq,001,2025-10-01_22h47.00.991,untitled,,2025.1.1,60.02119948766625,2025-10-01 22h47.12.067456 +0530,
-150,z,3,3,0,z,1,0.2734478999999794,None,0,3,3,3,,,,,8.956532399999986,,8.940226599999988,8.956532399999986,9.938937399999986,9.938937399999986,9.938937399999986,9.938937399999986,9.955647099999993,10.938965800000005,10.938965800000005,11.223233399999998,z,1,0.2734478999999794,None,,,,,par_4_mtr_seq,001,2025-10-01_22h47.00.991,untitled,,2025.1.1,60.02119948766625,2025-10-01 22h47.12.067456 +0530,
-50,x,4,0,1,x,1,0.4332956000000081,None,1,0,4,0,,,,,11.239076600000004,,11.223708600000009,11.239076600000004,12.23921279999999,12.23921279999999,12.23921279999999,12.23921279999999,12.23921279999999,13.222226199999994,13.222226199999994,13.656384400000007,x,1,0.4332956000000081,None,,,,,par_4_mtr_seq,001,2025-10-01_22h47.00.991,untitled,,2025.1.1,60.02119948766625,2025-10-01 22h47.12.067456 +0530,
150,v,5,1,1,v,1,0.7021721999999784,None,1,1,5,1,,,,,13.672236400000003,,13.656869599999993,13.672236400000003,14.655524200000002,14.655524200000002,14.655524200000002,14.655524200000002,14.6722307,15.670283799999993,15.670283799999993,16.38885669999999,v,1,0.7021721999999784,None,,,,,par_4_mtr_seq,001,2025-10-01_22h47.00.991,untitled,,2025.1.1,60.02119948766625,2025-10-01 22h47.12.067456 +0530,
50,c,6,2,1,v,0,0.40380530000001613,None,1,2,6,2,,,,,16.405667599999987,,16.3894114,16.405667599999987,17.3889384,17.3889384,17.3889384,17.3889384,17.4055841,18.388884899999994,18.388884899999994,18.806185099999993,v,0,0.40380530000001613,None,,,,,par_4_mtr_seq,001,2025-10-01_22h47.00.991,untitled,,2025.1.1,60.02119948766625,2025-10-01 22h47.12.067456 +0530,
-150,z,7,3,1,z,1,0.7605561999999964,None,1,3,7,3,,,,,18.821945199999988,,18.806644000000006,18.821945199999988,19.805669499999993,19.805669499999993,19.805669499999993,19.805669499999993,19.822183199999984,20.805792300000007,20.805792300000007,21.709944000000007,z,1,0.7605561999999964,None,,,,,par_4_mtr_seq,001,2025-10-01_22h47.00.991,untitled,,2025.1.1,60.02119948766625,2025-10-01 22h47.12.067456 +0530,
-50,x,8,0,2,x,1,0.4672877000000142,None,2,0,8,0,,,,,21.721327400000007,,21.710470499999985,21.721327400000007,22.722522400000003,22.722522400000003,22.722522400000003,22.722522400000003,22.722522400000003,23.72228229999999,23.72228229999999,24.190442200000007,x,1,0.4672877000000142,None,,,,,par_4_mtr_seq,001,2025-10-01_22h47.00.991,untitled,,2025.1.1,60.02119948766625,2025-10-01 22h47.12.067456 +0530,
150,v,9,1,2,v,1,0.33821570000000634,None,2,1,9,1,,,,,24.2056963,,24.19092280000001,24.2056963,25.205659300000008,25.205659300000008,25.205659300000008,25.205659300000008,25.205659300000008,26.205659699999984,26.205659699999984,26.556613699999986,v,1,0.33821570000000634,None,,,,,par_4_mtr_seq,001,2025-10-01_22h47.00.991,untitled,,2025.1.1,60.02119948766625,2025-10-01 22h47.12.067456 +0530,
