study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test,References,Old_New,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test_rotine.started,text_2.started,textbox.started,text_3.started,mouse.started,test_rotine.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
Chart,0,0,0,2.996296296296296,2.1989181000003555,,,,,,,,,,,,0,0,0,6,,,,,0.05160769999974946,,0.02939959999957864,0.05160769999974946,0.05160769999974946,2.244080099999792,2.996296296296296,2.1989181000003555,,,,,,,,,,,,,,,767670,001,2025-10-13_12h25.52.154,word priming,,2025.1.1,59.88540329230952,2025-10-13 12h25.56.152563 +0530,
Mouse,1,1,0,1.037037037037037,1.393017399999735,,,,,,,,,,,,0,1,1,8,,,,,2.266356199999791,,2.251933199999712,2.266356199999791,2.266356199999791,3.660502799999904,1.037037037037037,1.393017399999735,,,,,,,,,,,,,,,767670,001,2025-10-13_12h25.52.154,word priming,,2025.1.1,59.88540329230952,2025-10-13 12h25.56.152563 +0530,
Marble,2,2,0,1.988888888888889,0.8808070999998563,,,,,,,,,,,,0,2,2,3,,,,,3.6778158999995867,,3.66438799999969,3.6778158999995867,3.6778158999995867,4.560539199999766,1.988888888888889,0.8808070999998563,,,,,,,,,,,,,,,767670,001,2025-10-13_12h25.52.154,word priming,,2025.1.1,59.88540329230952,2025-10-13 12h25.56.152563 +0530,
Pastry,3,3,0,3.0,1.893737500000043,,,,,,,,,,,,0,3,3,9,,,,,4.58227799999986,,4.568024299999706,4.58227799999986,4.58227799999986,6.477450099999714,3.0,1.893737500000043,,,,,,,,,,,,,,,767670,001,2025-10-13_12h25.52.154,word priming,,2025.1.1,59.88540329230952,2025-10-13 12h25.56.152563 +0530,
Cruise,4,4,0,2.9814814814814814,0.7299874999998792,,,,,,,,,,,,0,4,4,11,,,,,6.496510599999965,,6.481911899999886,6.496510599999965,6.496510599999965,7.227324799999678,2.9814814814814814,0.7299874999998792,,,,,,,,,,,,,,,767670,001,2025-10-13_12h25.52.154,word priming,,2025.1.1,59.88540329230952,2025-10-13 12h25.56.152563 +0530,
Case,5,5,0,1.9555555555555555,0.9308977999999115,,,,,,,,,,,,0,5,5,10,,,,,7.2452321999999185,,7.231375299999854,7.2452321999999185,7.2452321999999185,8.177887499999997,1.9555555555555555,0.9308977999999115,,,,,,,,,,,,,,,767670,001,2025-10-13_12h25.52.154,word priming,,2025.1.1,59.88540329230952,2025-10-13 12h25.56.152563 +0530,
Poster,6,6,0,3.0296296296296297,0.8799257999999099,,,,,,,,,,,,0,6,6,14,,,,,8.195240199999716,,8.181788799999595,8.195240199999716,8.195240199999716,9.078010999999606,3.0296296296296297,0.8799257999999099,,,,,,,,,,,,,,,767670,001,2025-10-13_12h25.52.154,word priming,,2025.1.1,59.88540329230952,2025-10-13 12h25.56.152563 +0530,
Cushion,7,7,0,1,0.742871699999796,,,,,,,,,,,,0,7,7,1,,,,,9.100674199999958,,9.085560099999839,9.100674199999958,9.100674199999958,9.844250799999827,1,0.742871699999796,,,,,,,,,,,,,,,767670,001,2025-10-13_12h25.52.154,word priming,,2025.1.1,59.88540329230952,2025-10-13 12h25.56.152563 +0530,
T-shirt ,8,8,0,2.088888888888889,0.6998494999998002,,,,,,,,,,,,0,8,8,7,,,,,9.86514219999981,,9.85089599999992,9.86514219999981,9.86514219999981,10.564988899999662,2.088888888888889,0.6998494999998002,,,,,,,,,,,,,,,767670,001,2025-10-13_12h25.52.154,word priming,,2025.1.1,59.88540329230952,2025-10-13 12h25.56.152563 +0530,
Police,9,9,0,3.0148148148148146,0.8099312999997892,,,,,,,,,,,,0,9,9,12,,,,,10.582179799999722,,10.568659699999898,10.582179799999722,10.582179799999722,11.394179599999916,3.0148148148148146,0.8099312999997892,,,,,,,,,,,,,,,767670,001,2025-10-13_12h25.52.154,word priming,,2025.1.1,59.88540329230952,2025-10-13 12h25.56.152563 +0530,
Book,10,10,0,1.0629629629629629,1.0612213999997948,,,,,,,,,,,,0,10,10,0,,,,,11.414693799999895,,11.40030089999982,11.414693799999895,11.414693799999895,12.478755199999796,1.0629629629629629,1.0612213999997948,,,,,,,,,,,,,,,767670,001,2025-10-13_12h25.52.154,word priming,,2025.1.1,59.88540329230952,2025-10-13 12h25.56.152563 +0530,
Laptop,11,11,0,2.025925925925926,0.7582965999999942,,,,,,,,,,,,0,11,11,5,,,,,12.501437299999907,,12.487255399999867,12.501437299999907,12.501437299999907,13.260703799999646,2.025925925925926,0.7582965999999942,,,,,,,,,,,,,,,767670,001,2025-10-13_12h25.52.154,word priming,,2025.1.1,59.88540329230952,2025-10-13 12h25.56.152563 +0530,
Phone,12,12,0,3.0037037037037035,1.0138325000002624,,,,,,,,,,,,0,12,12,2,,,,,13.279102599999987,,13.26503589999993,13.279102599999987,13.279102599999987,14.294111299999713,3.0037037037037035,1.0138325000002624,,,,,,,,,,,,,,,767670,001,2025-10-13_12h25.52.154,word priming,,2025.1.1,59.88540329230952,2025-10-13 12h25.56.152563 +0530,
Board,13,13,0,3.0037037037037035,0.5616580000000795,,,,,,,,,,,,0,13,13,4,,,,,14.314804899999672,,14.30054039999959,14.314804899999672,14.314804899999672,14.877547599999616,3.0037037037037035,0.5616580000000795,,,,,,,,,,,,,,,767670,001,2025-10-13_12h25.52.154,word priming,,2025.1.1,59.88540329230952,2025-10-13 12h25.56.152563 +0530,
Keys,14,14,0,3.0037037037037035,0.49500880000005054,,,,,,,,,,,,0,14,14,13,,,,,14.899115299999721,,14.884195799999816,14.899115299999721,14.899115299999721,15.394702699999925,3.0037037037037035,0.49500880000005054,,,,,,,,,,,,,,,767670,001,2025-10-13_12h25.52.154,word priming,,2025.1.1,59.88540329230952,2025-10-13 12h25.56.152563 +0530,
,0,0,0,,,C_s_,Case,Old,cushion,[np.float64(0.000925925925925926)],[np.float64(-0.2972222222222222)],[1],[0],[0],[4.330696900000021],['text_3'],,,,,0,0,0,5,15.430420599999707,,,,,,,,15.413988899999822,15.430420599999707,15.430420599999707,15.430420599999707,0.019259099999999307,19.74504539999998,cushion,[np.float64(0.000925925925925926)],[np.float64(-0.2972222222222222)],[1],[0],[0],[4.330696900000021],['text_3'],767670,001,2025-10-13_12h25.52.154,word priming,,2025.1.1,59.88540329230952,2025-10-13 12h25.56.152563 +0530,
,1,1,0,,,_o_rd,Board,Old,chord,[np.float64(0.000925925925925926)],[np.float64(-0.2972222222222222)],[1],[0],[0],[3.445065599999907],['text_3'],,,,,0,1,1,10,19.762858599999618,,,,,,,,19.748899100000017,19.762858599999618,19.762858599999618,19.762858599999618,0.0036533000002236804,23.194279999999708,chord,[np.float64(0.000925925925925926)],[np.float64(-0.2972222222222222)],[1],[0],[0],[3.445065599999907],['text_3'],767670,001,2025-10-13_12h25.52.154,word priming,,2025.1.1,59.88540329230952,2025-10-13 12h25.56.152563 +0530,
,2,2,0,,,T_hi_t,T-shirt,Old,tshirt,[np.float64(0.000925925925925926)],[np.float64(-0.2972222222222222)],[1],[0],[0],[3.4788705000000846],['text_3'],,,,,0,2,2,2,23.212631399999736,,,,,,,,23.198181399999612,23.212631399999736,23.212631399999736,23.212631399999736,0.0037714000000050873,26.67737729999999,tshirt,[np.float64(0.000925925925925926)],[np.float64(-0.2972222222222222)],[1],[0],[0],[3.4788705000000846],['text_3'],767670,001,2025-10-13_12h25.52.154,word priming,,2025.1.1,59.88540329230952,2025-10-13 12h25.56.152563 +0530,
,3,3,0,,,P_s_r_,Pastry,Old,poster,[np.float64(0.000925925925925926)],[np.float64(-0.2972222222222222)],[1],[0],[0],[3.3155232000003707],['text_3'],,,,,0,3,3,4,26.694283999999698,,,,,,,,26.68079919999991,26.694283999999698,26.694283999999698,26.694283999999698,0.0032776000002741057,29.996698999999808,poster,[np.float64(0.000925925925925926)],[np.float64(-0.2972222222222222)],[1],[0],[0],[3.3155232000003707],['text_3'],767670,001,2025-10-13_12h25.52.154,word priming,,2025.1.1,59.88540329230952,2025-10-13 12h25.56.152563 +0530,
,4,4,0,,,_ho_e,Phone,Old,whole,[np.float64(0.000925925925925926)],[np.float64(-0.2972222222222222)],[1],[0],[0],[6.960394400000041],['text_3'],,,,,0,4,4,12,30.014280699999745,,,,,,,,30.0007128999996,30.014280699999745,30.014280699999745,30.014280699999745,0.003849700000046141,36.96143239999992,whole,[np.float64(0.000925925925925926)],[np.float64(-0.2972222222222222)],[1],[0],[0],[6.960394400000041],['text_3'],767670,001,2025-10-13_12h25.52.154,word priming,,2025.1.1,59.88540329230952,2025-10-13 12h25.56.152563 +0530,
,5,5,0,,,_oo_,Book,Old,book,[np.float64(0.000925925925925926)],[np.float64(-0.2972222222222222)],[1],[0],[0],[1.9960042999996404],['text_3'],,,,,0,5,5,13,36.97841639999979,,,,,,,,36.96458249999978,36.97841639999979,36.97841639999979,36.97841639999979,0.0030310000001918525,38.960974599999645,book,[np.float64(0.000925925925925926)],[np.float64(-0.2972222222222222)],[1],[0],[0],[1.9960042999996404],['text_3'],767670,001,2025-10-13_12h25.52.154,word priming,,2025.1.1,59.88540329230952,2025-10-13 12h25.56.152563 +0530,
,6,6,0,,,P_st_r,Poster,Old,pastry,[np.float64(0.000925925925925926)],[np.float64(-0.2972222222222222)],[1],[0],[0],[5.065218000000186],['text_3'],,,,,0,6,6,9,38.97831959999985,,,,,,,,38.96450509999977,38.97831959999985,38.97831959999985,38.97831959999985,0.003338099999837141,44.03010329999961,pastry,[np.float64(0.000925925925925926)],[np.float64(-0.2972222222222222)],[1],[0],[0],[5.065218000000186],['text_3'],767670,001,2025-10-13_12h25.52.154,word priming,,2025.1.1,59.88540329230952,2025-10-13 12h25.56.152563 +0530,
,7,7,0,,,P_li_e,Police,Old,police,[np.float64(-0.025925925925925925)],[np.float64(-0.29814814814814816)],[1],[0],[0],[4.376397700000325],['text_3'],,,,,0,7,7,7,44.04933379999966,,,,,,,,44.03393249999999,44.04933379999966,44.04933379999966,44.04933379999966,0.003682799999751296,48.410707399999865,police,[np.float64(-0.025925925925925925)],[np.float64(-0.29814814814814816)],[1],[0],[0],[4.376397700000325],['text_3'],767670,001,2025-10-13_12h25.52.154,word priming,,2025.1.1,59.88540329230952,2025-10-13 12h25.56.152563 +0530,
,8,8,0,,,Bo_t_e,Bottle ,New,bottle,[np.float64(-0.025925925925925925)],[np.float64(-0.29814814814814816)],[1],[0],[0],[3.1148975000000974],['text_3'],,,,,0,8,8,18,48.42732429999978,,,,,,,,48.414112699999805,48.42732429999978,48.42732429999978,48.42732429999978,0.003251500000260421,51.52944239999988,bottle,[np.float64(-0.025925925925925925)],[np.float64(-0.29814814814814816)],[1],[0],[0],[3.1148975000000974],['text_3'],767670,001,2025-10-13_12h25.52.154,word priming,,2025.1.1,59.88540329230952,2025-10-13 12h25.56.152563 +0530,
,9,9,0,,,Ta_l_,Table,New,table,[np.float64(-0.025925925925925925)],[np.float64(-0.29814814814814816)],[1],[0],[0],[3.2463462999999138],['text_3'],,,,,0,9,9,15,51.5488634999997,,,,,,,,51.533116399999926,51.5488634999997,51.5488634999997,51.5488634999997,0.0034481000002415385,54.77987099999973,table,[np.float64(-0.025925925925925925)],[np.float64(-0.29814814814814816)],[1],[0],[0],[3.2463462999999138],['text_3'],767670,001,2025-10-13_12h25.52.154,word priming,,2025.1.1,59.88540329230952,2025-10-13 12h25.56.152563 +0530,
,10,10,0,,,C_s_io_,Cushion,Old,cushion ,[np.float64(-0.025925925925925925)],[np.float64(-0.29814814814814816)],[1],[0],[0],[3.9127928999996584],['text_3'],,,,,0,10,10,14,54.79975509999986,,,,,,,,54.783659199999875,54.79975509999986,54.79975509999986,54.79975509999986,0.003646400000434369,58.69703389999995,cushion ,[np.float64(-0.025925925925925925)],[np.float64(-0.29814814814814816)],[1],[0],[0],[3.9127928999996584],['text_3'],767670,001,2025-10-13_12h25.52.154,word priming,,2025.1.1,59.88540329230952,2025-10-13 12h25.56.152563 +0530,
,11,11,0,,,L_pt_p,Laptop,Old,laptop,[np.float64(-0.025925925925925925)],[np.float64(-0.29814814814814816)],[1],[0],[0],[3.7601904000002833],['text_3'],,,,,0,11,11,0,58.7176701999997,,,,,,,,58.70088599999963,58.7176701999997,58.7176701999997,58.7176701999997,0.003665900000214606,62.4614575999999,laptop,[np.float64(-0.025925925925925925)],[np.float64(-0.29814814814814816)],[1],[0],[0],[3.7601904000002833],['text_3'],767670,001,2025-10-13_12h25.52.154,word priming,,2025.1.1,59.88540329230952,2025-10-13 12h25.56.152563 +0530,
,12,12,0,,,C_m_ra,Camera,New,camera,[np.float64(-0.025925925925925925)],[np.float64(-0.29814814814814816)],[1],[0],[0],[2.7461223000000246],['text_3'],,,,,0,12,12,19,62.47889079999959,,,,,,,,62.464728099999775,62.47889079999959,62.47889079999959,62.47889079999959,0.0032315999997081235,65.21142669999972,camera,[np.float64(-0.025925925925925925)],[np.float64(-0.29814814814814816)],[1],[0],[0],[2.7461223000000246],['text_3'],767670,001,2025-10-13_12h25.52.154,word priming,,2025.1.1,59.88540329230952,2025-10-13 12h25.56.152563 +0530,
,13,13,0,,,_ru_s_,Cruise,Old,,[],[],[],[],[],[],[],,,,,0,13,13,6,65.2294539999998,,,,,,,,65.21497999999974,65.2294539999998,65.2294539999998,65.2294539999998,0.0034073000001626497,75.22775649999994,,[],[],[],[],[],[],[],767670,001,2025-10-13_12h25.52.154,word priming,,2025.1.1,59.88540329230952,2025-10-13 12h25.56.152563 +0530,
