pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line_2.started,line_3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,1.3048164000001634,None,0,0,0,0,,,,,0.028937499999756255,,0.019181799999842042,0.028937499999756255,1.011603699999796,1.011603699999796,1.011603699999796,1.011603699999796,1.0283954999999878,2.0116868999998587,2.0116868999998587,3.337725099999716,x,1,1.3048164000001634,None,,,,,par_2_mtr_seq,001,2025-10-01_19h58.27.067,untitled,,2025.1.1,59.746578910965944,2025-10-01 19h58.55.438069 +0530,
150,v,1,1,0,v,1,0.9498962999996365,None,0,1,1,1,,,,,3.347075700000005,,3.338245899999947,3.347075700000005,4.345068600000104,4.345068600000104,4.345068600000104,4.345068600000104,4.361797699999897,5.34502109999994,5.34502109999994,6.2959578999998485,v,1,0.9498962999996365,None,,,,,par_2_mtr_seq,001,2025-10-01_19h58.27.067,untitled,,2025.1.1,59.746578910965944,2025-10-01 19h58.55.438069 +0530,
50,c,2,2,0,c,1,0.7918060000001788,None,0,2,2,2,,,,,6.311366599999928,,6.296462799999972,6.311366599999928,7.311847599999965,7.311847599999965,7.311847599999965,7.311847599999965,7.311847599999965,8.295022899999822,8.295022899999822,9.096525500000098,c,1,0.7918060000001788,None,,,,,par_2_mtr_seq,001,2025-10-01_19h58.27.067,untitled,,2025.1.1,59.746578910965944,2025-10-01 19h58.55.438069 +0530,
-150,z,3,3,0,z,1,0.8313634999999522,None,0,3,3,3,,,,,9.111676699999862,,9.09701509999968,9.111676699999862,10.111754699999892,10.111754699999892,10.111754699999892,10.111754699999892,10.111754699999892,11.111750699999902,11.111750699999902,11.94590849999986,z,1,0.8313634999999522,None,,,,,par_2_mtr_seq,001,2025-10-01_19h58.27.067,untitled,,2025.1.1,59.746578910965944,2025-10-01 19h58.55.438069 +0530,
-50,x,4,0,1,x,1,0.8371827999999368,None,1,0,4,0,,,,,11.961997399999746,,11.946395799999664,11.961997399999746,12.945087199999762,12.945087199999762,12.945087199999762,12.945087199999762,12.961977599999955,13.945065399999748,13.945065399999748,14.795016499999747,x,1,0.8371827999999368,None,,,,,par_2_mtr_seq,001,2025-10-01_19h58.27.067,untitled,,2025.1.1,59.746578910965944,2025-10-01 19h58.55.438069 +0530,
150,v,5,1,1,v,1,0.8167637999999897,None,1,1,5,1,,,,,14.811677599999712,,14.795599399999901,14.811677599999712,15.795151799999985,15.795151799999985,15.795151799999985,15.795151799999985,15.811714999999822,16.795450499999788,16.795450499999788,17.62931649999973,v,1,0.8167637999999897,None,,,,,par_2_mtr_seq,001,2025-10-01_19h58.27.067,untitled,,2025.1.1,59.746578910965944,2025-10-01 19h58.55.438069 +0530,
50,c,6,2,1,c,1,1.2987364000000525,None,1,2,6,2,,,,,17.645072100000107,,17.62988859999996,17.645072100000107,18.628474599999663,18.628474599999663,18.628474599999663,18.628474599999663,18.64507279999998,19.6449834,19.6449834,20.945942099999684,c,1,1.2987364000000525,None,,,,,par_2_mtr_seq,001,2025-10-01_19h58.27.067,untitled,,2025.1.1,59.746578910965944,2025-10-01 19h58.55.438069 +0530,
-150,z,7,3,1,z,1,1.0143348000001424,None,1,3,7,3,,,,,20.96177519999992,,20.946434399999816,20.96177519999992,21.945071999999982,21.945071999999982,21.945071999999982,21.945071999999982,21.961711899999955,22.94509119999975,22.94509119999975,23.96243370000002,z,1,1.0143348000001424,None,,,,,par_2_mtr_seq,001,2025-10-01_19h58.27.067,untitled,,2025.1.1,59.746578910965944,2025-10-01 19h58.55.438069 +0530,
-50,x,8,0,2,x,1,1.1023605999998836,None,2,0,8,0,,,,,23.97854469999993,,23.96292889999995,23.97854469999993,24.961942999999792,24.961942999999792,24.961942999999792,24.961942999999792,24.978413999999702,25.96190609999985,25.96190609999985,27.078253700000005,x,1,1.1023605999998836,None,,,,,par_2_mtr_seq,001,2025-10-01_19h58.27.067,untitled,,2025.1.1,59.746578910965944,2025-10-01 19h58.55.438069 +0530,
150,v,9,1,2,v,1,0.7164888000002065,None,2,1,9,1,,,,,27.095174900000075,,27.078812799999923,27.095174900000075,28.078448299999764,28.078448299999764,28.078448299999764,28.078448299999764,28.09514360000003,29.07845049999969,29.07845049999969,29.796009799999865,v,1,0.7164888000002065,None,,,,,par_2_mtr_seq,001,2025-10-01_19h58.27.067,untitled,,2025.1.1,59.746578910965944,2025-10-01 19h58.55.438069 +0530,
