reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
11,24,90,0,0,0,l,1.7075327999996261,None,0,0,0,15,0.11312899999984438,,0.1044928000001164,0.11312899999984438,1.008046800000102,1.008046800000102,1.1247444000000542,2.7343128000002253,l,1.7075327999996261,None,876,001,2025-10-30_12h31.35.528,delay_discounting,,2025.1.1,60.423508370161954,2025-10-30 12h31.43.887106 +0530,
52,67,30,1,1,0,t,0.2695524999999179,None,0,1,1,5,2.7523636000000806,,2.743714000000182,2.7523636000000806,3.741301999999905,3.741301999999905,3.759003499999835,4.025185599999986,t,0.2695524999999179,None,876,001,2025-10-30_12h31.35.528,delay_discounting,,2025.1.1,60.423508370161954,2025-10-30 12h31.43.887106 +0530,
69,90,30,2,2,0,l,0.8716066000001774,None,0,2,2,14,4.041286300000138,,4.029630600000019,4.041286300000138,5.02539969999998,5.02539969999998,5.041383400000086,5.9089334999998755,l,0.8716066000001774,None,876,001,2025-10-30_12h31.35.528,delay_discounting,,2025.1.1,60.423508370161954,2025-10-30 12h31.43.887106 +0530,
64,80,76,3,3,0,l,0.7150112999997873,None,0,3,3,79,5.925355200000013,,5.916285400000106,5.925355200000013,6.923937399999886,6.923937399999886,6.923937399999886,7.641835599999922,l,0.7150112999997873,None,876,001,2025-10-30_12h31.35.528,delay_discounting,,2025.1.1,60.423508370161954,2025-10-30 12h31.43.887106 +0530,
20,30,30,4,4,0,l,0.9975174999999581,None,0,4,4,58,7.659073700000135,,7.646254000000226,7.659073700000135,8.641517000000022,8.641517000000022,8.658075599999847,9.642196900000272,l,0.9975174999999581,None,876,001,2025-10-30_12h31.35.528,delay_discounting,,2025.1.1,60.423508370161954,2025-10-30 12h31.43.887106 +0530,
70,105,117,5,5,0,l,2.450978699999723,None,0,5,5,77,9.657857900000181,,9.646725600000082,9.657857900000181,10.64158660000021,10.64158660000021,10.658210900000086,13.108942800000023,l,2.450978699999723,None,876,001,2025-10-30_12h31.35.528,delay_discounting,,2025.1.1,60.423508370161954,2025-10-30 12h31.43.887106 +0530,
60,112,55,6,6,0,l,1.4510574000000815,None,0,6,6,23,13.124350999999933,,13.113710000000083,13.124350999999933,14.124756799999886,14.124756799999886,14.124756799999886,15.592054199999893,l,1.4510574000000815,None,876,001,2025-10-30_12h31.35.528,delay_discounting,,2025.1.1,60.423508370161954,2025-10-30 12h31.43.887106 +0530,
38,54,64,7,7,0,l,1.1427598000000216,None,0,7,7,74,15.608231900000192,,15.59657019999986,15.608231900000192,16.591289699999834,16.591289699999834,16.607853299999988,17.74136230000022,l,1.1427598000000216,None,876,001,2025-10-30_12h31.35.528,delay_discounting,,2025.1.1,60.423508370161954,2025-10-30 12h31.43.887106 +0530,
44,69,3,8,8,0,l,1.670188600000074,None,0,8,8,49,17.757963200000177,,17.74615790000007,17.757963200000177,18.741473000000042,18.741473000000042,18.758290900000247,20.425346999999874,l,1.670188600000074,None,876,001,2025-10-30_12h31.35.528,delay_discounting,,2025.1.1,60.423508370161954,2025-10-30 12h31.43.887106 +0530,
49,86,45,9,9,0,t,1.1804016999999476,None,0,9,9,26,20.441442400000142,,20.42950759999985,20.441442400000142,21.42475599999989,21.42475599999989,21.441676400000233,22.608502699999917,t,1.1804016999999476,None,876,001,2025-10-30_12h31.35.528,delay_discounting,,2025.1.1,60.423508370161954,2025-10-30 12h31.43.887106 +0530,
68,155,160,10,10,0,t,1.0452854000000116,None,0,10,10,98,22.624992399999883,,22.612954499999887,22.624992399999883,23.60850359999995,23.60850359999995,23.62483680000014,24.65918610000017,t,1.0452854000000116,None,876,001,2025-10-30_12h31.35.528,delay_discounting,,2025.1.1,60.423508370161954,2025-10-30 12h31.43.887106 +0530,
41,45,60,11,11,0,l,1.112111299999924,None,0,11,11,75,24.67430030000014,,24.663471400000162,24.67430030000014,25.65835479999987,25.65835479999987,25.675009200000204,26.775844600000255,l,1.112111299999924,None,876,001,2025-10-30_12h31.35.528,delay_discounting,,2025.1.1,60.423508370161954,2025-10-30 12h31.43.887106 +0530,
49,61,50,12,12,0,l,1.4332558999999492,None,0,12,12,1,26.791096500000094,,26.780278100000032,26.791096500000094,27.791334800000186,27.791334800000186,27.791334800000186,29.225874600000225,l,1.4332558999999492,None,876,001,2025-10-30_12h31.35.528,delay_discounting,,2025.1.1,60.423508370161954,2025-10-30 12h31.43.887106 +0530,
54,99,111,13,13,0,l,2.2273245999999745,None,0,13,13,80,29.24100350000026,,29.230305300000055,29.24100350000026,30.241641000000072,30.241641000000072,30.241641000000072,32.475342700000056,l,2.2273245999999745,None,876,001,2025-10-30_12h31.35.528,delay_discounting,,2025.1.1,60.423508370161954,2025-10-30 12h31.43.887106 +0530,
11,46,21,14,14,0,l,0.8386411999999837,None,0,14,14,37,32.660430700000234,,32.648737600000004,32.660430700000234,33.49160810000012,33.49160810000012,33.67495400000007,34.341646800000035,l,0.8386411999999837,None,876,001,2025-10-30_12h31.35.528,delay_discounting,,2025.1.1,60.423508370161954,2025-10-30 12h31.43.887106 +0530,
28,33,41,15,15,0,l,0.6598607000000811,None,0,15,15,17,34.358070300000236,,34.34619010000006,34.358070300000236,35.341748499999994,35.341748499999994,35.35817610000004,36.008626899999854,l,0.6598607000000811,None,876,001,2025-10-30_12h31.35.528,delay_discounting,,2025.1.1,60.423508370161954,2025-10-30 12h31.43.887106 +0530,
43,68,76,16,16,0,l,1.197728100000404,None,0,16,16,34,36.02466000000004,,36.01306280000017,36.02466000000004,37.00819880000017,37.00819880000017,37.02518740000005,38.2088004000002,l,1.197728100000404,None,876,001,2025-10-30_12h31.35.528,delay_discounting,,2025.1.1,60.423508370161954,2025-10-30 12h31.43.887106 +0530,
40,78,20,17,17,0,l,1.0404591000001346,None,0,17,17,0,38.224957599999925,,38.21309139999994,38.224957599999925,39.20797450000009,39.20797450000009,39.224642199999835,40.25890759999993,l,1.0404591000001346,None,876,001,2025-10-30_12h31.35.528,delay_discounting,,2025.1.1,60.423508370161954,2025-10-30 12h31.43.887106 +0530,
49,79,88,18,18,0,l,0.7979252000000088,None,0,18,18,16,40.27446360000022,,40.26336619999984,40.27446360000022,41.25806190000003,41.25806190000003,41.275052100000266,42.058929199999966,l,0.7979252000000088,None,876,001,2025-10-30_12h31.35.528,delay_discounting,,2025.1.1,60.423508370161954,2025-10-30 12h31.43.887106 +0530,
17,54,64,19,19,0,t,0.8619251000000077,None,0,19,19,87,42.07533879999983,,42.06338970000024,42.07533879999983,43.058415100000275,43.058415100000275,43.07487889999993,43.92567030000009,t,0.8619251000000077,None,876,001,2025-10-30_12h31.35.528,delay_discounting,,2025.1.1,60.423508370161954,2025-10-30 12h31.43.887106 +0530,
48,95,121,20,20,0,l,0.3816153000002487,None,0,20,20,90,43.9414455000001,,43.93044450000025,43.9414455000001,44.924923500000205,44.924923500000205,44.94137980000005,45.3091672999999,l,0.3816153000002487,None,876,001,2025-10-30_12h31.35.528,delay_discounting,,2025.1.1,60.423508370161954,2025-10-30 12h31.43.887106 +0530,
33,58,90,21,21,0,l,1.4377474000002621,None,0,21,21,22,45.324528799999825,,45.31356679999999,45.324528799999825,46.32771989999992,46.32771989999992,46.32771989999992,47.77563360000022,l,1.4377474000002621,None,876,001,2025-10-30_12h31.35.528,delay_discounting,,2025.1.1,60.423508370161954,2025-10-30 12h31.43.887106 +0530,
42,80,3,22,22,0,l,4.6854708999999275,None,0,22,22,63,47.79122120000011,,47.78015430000005,47.79122120000011,48.77465979999988,48.77465979999988,48.79201890000013,53.47530779999988,l,4.6854708999999275,None,876,001,2025-10-30_12h31.35.528,delay_discounting,,2025.1.1,60.423508370161954,2025-10-30 12h31.43.887106 +0530,
43,63,76,23,23,0,l,1.5698363999999856,None,0,23,23,67,53.491735399999925,,53.47968649999984,53.491735399999925,54.47474409999995,54.47474409999995,54.49251890000005,56.05899309999995,l,1.5698363999999856,None,876,001,2025-10-30_12h31.35.528,delay_discounting,,2025.1.1,60.423508370161954,2025-10-30 12h31.43.887106 +0530,
13,24,14,24,24,0,l,0.4243261000001439,None,0,24,24,40,56.07464489999984,,56.06372109999984,56.07464489999984,57.058278599999994,57.058278599999994,57.07505820000006,57.49202490000016,l,0.4243261000001439,None,876,001,2025-10-30_12h31.35.528,delay_discounting,,2025.1.1,60.423508370161954,2025-10-30 12h31.43.887106 +0530,
42,56,67,25,25,0,l,3.4450347999995756,None,0,25,25,33,57.50801700000011,,57.49634909999986,57.50801700000011,58.49184749999995,58.49184749999995,58.50812640000004,61.94239999999991,l,3.4450347999995756,None,876,001,2025-10-30_12h31.35.528,delay_discounting,,2025.1.1,60.423508370161954,2025-10-30 12h31.43.887106 +0530,
69,94,143,26,26,0,l,1.2340957000001254,None,0,26,26,30,61.95793430000003,,61.94714019999992,61.95793430000003,62.94185379999999,62.94185379999999,62.95826990000023,64.19267089999994,l,1.2340957000001254,None,876,001,2025-10-30_12h31.35.528,delay_discounting,,2025.1.1,60.423508370161954,2025-10-30 12h31.43.887106 +0530,
74,124,160,27,27,0,l,1.2935875000002852,None,0,27,27,12,64.2086463999999,,64.19734359999984,64.2086463999999,65.20840670000007,65.20840670000007,65.20840670000007,66.50900520000005,l,1.2935875000002852,None,876,001,2025-10-30_12h31.35.528,delay_discounting,,2025.1.1,60.423508370161954,2025-10-30 12h31.43.887106 +0530,
32,78,14,28,28,0,l,0.9626176000001578,None,0,28,28,62,66.52466619999996,,66.51384289999987,66.52466619999996,67.50841750000018,67.50841750000018,67.52531380000028,68.4751838000002,l,0.9626176000001578,None,876,001,2025-10-30_12h31.35.528,delay_discounting,,2025.1.1,60.423508370161954,2025-10-30 12h31.43.887106 +0530,
59,89,100,29,29,0,l,1.8085233000001608,None,0,29,29,3,68.49175569999989,,68.47989510000025,68.49175569999989,69.47489769999993,69.47489769999993,69.49129140000014,71.29240299999992,l,1.8085233000001608,None,876,001,2025-10-30_12h31.35.528,delay_discounting,,2025.1.1,60.423508370161954,2025-10-30 12h31.43.887106 +0530,
60,91,112,30,30,0,l,1.706102699999974,None,0,30,30,24,71.30801490000022,,71.29700580000008,71.30801490000022,72.29191560000027,72.29191560000027,72.3086742999999,74.00911480000013,l,1.706102699999974,None,876,001,2025-10-30_12h31.35.528,delay_discounting,,2025.1.1,60.423508370161954,2025-10-30 12h31.43.887106 +0530,
21,49,50,31,31,0,l,1.0793578999996498,None,0,31,31,92,74.02551390000008,,74.01363859999992,74.02551390000008,75.00938350000024,75.00938350000024,75.0251575000002,76.09221349999962,l,1.0793578999996498,None,876,001,2025-10-30_12h31.35.528,delay_discounting,,2025.1.1,60.423508370161954,2025-10-30 12h31.43.887106 +0530,
17,84,90,32,32,0,l,0.8918730999994295,None,0,32,32,2,76.10875270000042,,76.09671320000007,76.10875270000042,77.09188529999983,77.09188529999983,77.10856569999987,77.99283010000045,l,0.8918730999994295,None,876,001,2025-10-30_12h31.35.528,delay_discounting,,2025.1.1,60.423508370161954,2025-10-30 12h31.43.887106 +0530,
75,119,132,33,33,0,t,1.1949656999995568,None,0,33,33,85,78.0080911,,77.99726710000004,78.0080911,79.00854180000033,79.00854180000033,79.00854180000033,80.20907620000025,t,1.1949656999995568,None,876,001,2025-10-30_12h31.35.528,delay_discounting,,2025.1.1,60.423508370161954,2025-10-30 12h31.43.887106 +0530,
66,135,14,34,34,0,l,4.158842600000753,None,0,34,34,53,80.22471739999992,,80.21394960000043,80.22471739999992,81.20836310000004,81.20836310000004,81.22522729999991,85.3758883000005,l,4.158842600000753,None,876,001,2025-10-30_12h31.35.528,delay_discounting,,2025.1.1,60.423508370161954,2025-10-30 12h31.43.887106 +0530,
24,69,7,35,35,0,t,1.6136639999995168,None,0,35,35,41,85.39147280000043,,85.3806625000002,85.39147280000043,86.37519240000029,86.37519240000029,86.39200409999967,87.9922174999997,t,1.6136639999995168,None,876,001,2025-10-30_12h31.35.528,delay_discounting,,2025.1.1,60.423508370161954,2025-10-30 12h31.43.887106 +0530,
