pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line_2.started,line_3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,0.7762206999996124,None,0,0,0,0,,,,,0.028210200000103214,,0.01916929999970307,0.028210200000103214,1.014917399999831,1.014917399999831,1.014917399999831,1.014917399999831,1.0313966000003347,2.014698199999657,2.014698199999657,2.8057701999996425,x,1,0.7762206999996124,None,,,,,par_3_mtr_seq,001,2025-10-01_20h32.23.763,untitled,,2025.1.1,59.80621589926061,2025-10-01 20h32.39.360764 +0530,
150,v,1,1,0,v,1,0.8175118999997721,None,0,1,1,1,,,,,2.815301499999805,,2.806238199999825,2.815301499999805,3.8145920999995724,3.8145920999995724,3.8145920999995724,3.8145920999995724,3.8145920999995724,4.814609000000019,4.814609000000019,5.648933700000271,v,1,0.8175118999997721,None,,,,,par_3_mtr_seq,001,2025-10-01_20h32.23.763,untitled,,2025.1.1,59.80621589926061,2025-10-01 20h32.39.360764 +0530,
50,c,2,2,0,c,1,0.5810050000000047,None,0,2,2,2,,,,,5.665122299999894,,5.649447599999803,5.665122299999894,6.648152599999776,6.648152599999776,6.648152599999776,6.648152599999776,6.664862699999503,7.648112500000025,7.648112500000025,8.232061099999555,c,1,0.5810050000000047,None,,,,,par_3_mtr_seq,001,2025-10-01_20h32.23.763,untitled,,2025.1.1,59.80621589926061,2025-10-01 20h32.39.360764 +0530,
-150,z,3,3,0,z,1,0.5638513000003513,None,0,3,3,3,,,,,8.24786320000021,,8.232589999999618,8.24786320000021,9.2314209999995,9.2314209999995,9.2314209999995,9.2314209999995,9.248023600000124,10.231668600000376,10.231668600000376,10.798677699999644,z,1,0.5638513000003513,None,,,,,par_3_mtr_seq,001,2025-10-01_20h32.23.763,untitled,,2025.1.1,59.80621589926061,2025-10-01 20h32.39.360764 +0530,
-50,x,4,0,1,x,1,0.4882222999995065,None,1,0,4,0,,,,,10.814707399999861,,10.799240299999838,10.814707399999861,11.798017600000094,11.798017600000094,11.798017600000094,11.798017600000094,11.814756800000396,12.797945199999958,12.797945199999958,13.298042899999928,x,1,0.4882222999995065,None,,,,,par_3_mtr_seq,001,2025-10-01_20h32.23.763,untitled,,2025.1.1,59.80621589926061,2025-10-01 20h32.39.360764 +0530,
150,v,5,1,1,v,1,0.6416844999994282,None,1,1,5,1,,,,,13.314019899999948,,13.298535099999754,13.314019899999948,14.297574999999597,14.297574999999597,14.297574999999597,14.297574999999597,14.314361599999756,15.297757700000147,15.297757700000147,15.94872690000011,v,1,0.6416844999994282,None,,,,,par_3_mtr_seq,001,2025-10-01_20h32.23.763,untitled,,2025.1.1,59.80621589926061,2025-10-01 20h32.39.360764 +0530,
50,c,6,2,1,c,1,0.44812830000046233,None,1,2,6,2,,,,,15.964831399999639,,15.949214199999915,15.964831399999639,16.948053799999798,16.948053799999798,16.948053799999798,16.948053799999798,16.964895799999795,17.948128400000314,17.948128400000314,18.399127699999553,c,1,0.44812830000046233,None,,,,,par_3_mtr_seq,001,2025-10-01_20h32.23.763,untitled,,2025.1.1,59.80621589926061,2025-10-01 20h32.39.360764 +0530,
-150,z,7,3,1,z,1,0.3730526999997892,None,1,3,7,3,,,,,18.41470339999978,,18.399733600000218,18.41470339999978,19.414884699999675,19.414884699999675,19.414884699999675,19.414884699999675,19.414884699999675,20.41489720000027,20.41489720000027,20.798713099999986,z,1,0.3730526999997892,None,,,,,par_3_mtr_seq,001,2025-10-01_20h32.23.763,untitled,,2025.1.1,59.80621589926061,2025-10-01 20h32.39.360764 +0530,
-50,x,8,0,2,x,1,0.7181344999999055,None,2,0,8,0,,,,,20.814829799999643,,20.799265200000264,20.814829799999643,21.79810869999983,21.79810869999983,21.79810869999983,21.79810869999983,21.814837799999623,22.798150699999496,22.798150699999496,23.531318600000304,x,1,0.7181344999999055,None,,,,,par_3_mtr_seq,001,2025-10-01_20h32.23.763,untitled,,2025.1.1,59.80621589926061,2025-10-01 20h32.39.360764 +0530,
150,v,9,1,2,v,1,0.9440150000000358,None,2,1,9,1,,,,,23.54722589999983,,23.53176119999989,23.54722589999983,24.53169760000037,24.53169760000037,24.53169760000037,24.53169760000037,24.548032099999546,25.531600199999957,25.531600199999957,26.482317299999522,v,1,0.9440150000000358,None,,,,,par_3_mtr_seq,001,2025-10-01_20h32.23.763,untitled,,2025.1.1,59.80621589926061,2025-10-01 20h32.39.360764 +0530,
