15.1446 	INFO 	Loaded monitor calibration from ['2025_08_11 19:48']
15.1666 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
15.6865 	INFO 	Using renderer 'AMD Radeon(TM) Graphics' for graphics
15.6865 	INFO 	OpenGL version supported by driver is 4..
15.7795 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000197C4D4FB50>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000197C4D4FAF0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=True, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000197C4E1D3F0>, multiSample=False, name='window1', numSamples=2, pos=[np.float64(0.0), np.float64(0.0)], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
15.7796 	EXP 	window1: backgroundImage = ''
15.7796 	EXP 	window1: backgroundFit = 'none'
16.6193 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
16.6193 	EXP 	window1: recordFrameIntervals = False
16.8757 	EXP 	window1: recordFrameIntervals = True
17.0593 	EXP 	Screen (0) actual frame rate measured at 60.02Hz
17.0594 	EXP 	window1: recordFrameIntervals = False
17.1994 	INFO 	keyboard.Keyboard is using ptb backend.
17.1997 	INFO 	keyboard.Keyboard is using ptb backend.
17.1998 	EXP 	untitled: status = STARTED
17.2090 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
