pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line_2.started,line_3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,0.5864963000000216,None,0,0,0,0,,,,,0.028892900000016652,,0.019337600000028488,0.028892900000016652,1.0107057000000168,1.0107057000000168,1.0107057000000168,1.0107057000000168,1.0440464000000134,2.010878400000024,2.010878400000024,2.619178800000043,x,1,0.5864963000000216,None,,,,,par_1_mtr_seq,001,2025-10-01_19h28.49.025,untitled,,2025.1.1,60.060060060065474,2025-10-01 19h29.00.343266 +0530,
150,v,1,1,0,v,1,0.506623999999988,None,0,1,1,1,,,,,2.6288274000000342,,2.619692500000042,2.6288274000000342,3.627472100000034,3.627472100000034,3.627472100000034,3.627472100000034,3.644038300000034,4.627276400000028,4.627276400000028,5.145313000000044,v,1,0.506623999999988,None,,,,,par_1_mtr_seq,001,2025-10-01_19h28.49.025,untitled,,2025.1.1,60.060060060065474,2025-10-01 19h29.00.343266 +0530,
50,c,2,2,0,c,1,0.7712875000000281,None,0,2,2,2,,,,,5.161004700000035,,5.145791300000042,5.161004700000035,6.144278600000007,6.144278600000007,6.144278600000007,6.144278600000007,6.1612769000000185,7.160783900000013,7.160783900000013,7.945102200000008,c,1,0.7712875000000281,None,,,,,par_1_mtr_seq,001,2025-10-01_19h28.49.025,untitled,,2025.1.1,60.060060060065474,2025-10-01 19h29.00.343266 +0530,
-150,z,3,3,0,x,0,0.4420868999999925,None,0,3,3,3,,,,,7.960901100000001,,7.945589600000005,7.960901100000001,8.960820800000022,8.960820800000022,8.960820800000022,8.960820800000022,8.960820800000022,9.960827900000027,9.960827900000027,10.411595500000033,x,0,0.4420868999999925,None,,,,,par_1_mtr_seq,001,2025-10-01_19h28.49.025,untitled,,2025.1.1,60.060060060065474,2025-10-01 19h29.00.343266 +0530,
-50,x,4,0,1,x,1,0.557013100000006,None,1,0,4,0,,,,,10.427437500000053,,10.412134100000003,10.427437500000053,11.41084380000001,11.41084380000001,11.41084380000001,11.41084380000001,11.427380200000016,12.410860400000047,12.410860400000047,12.97812300000004,x,1,0.557013100000006,None,,,,,par_1_mtr_seq,001,2025-10-01_19h28.49.025,untitled,,2025.1.1,60.060060060065474,2025-10-01 19h29.00.343266 +0530,
150,v,5,1,1,v,1,0.4641194999999243,None,1,1,5,1,,,,,12.994276200000002,,12.978690500000027,12.994276200000002,13.97741289999999,13.97741289999999,13.97741289999999,13.97741289999999,13.99416050000002,14.977468600000066,14.977468600000066,15.444963600000051,v,1,0.4641194999999243,None,,,,,par_1_mtr_seq,001,2025-10-01_19h28.49.025,untitled,,2025.1.1,60.060060060065474,2025-10-01 19h29.00.343266 +0530,
50,c,6,2,1,c,1,0.9648145999999542,None,1,2,6,2,,,,,15.46066380000002,,15.445424000000003,15.46066380000002,16.461025800000016,16.461025800000016,16.461025800000016,16.461025800000016,16.461025800000016,17.444101199999977,17.444101199999977,18.41186170000003,c,1,0.9648145999999542,None,,,,,par_1_mtr_seq,001,2025-10-01_19h28.49.025,untitled,,2025.1.1,60.060060060065474,2025-10-01 19h29.00.343266 +0530,
-150,z,7,3,1,z,1,0.958556499999986,None,1,3,7,3,,,,,18.427572000000055,,18.4123204,18.427572000000055,19.428204700000038,19.428204700000038,19.428204700000038,19.428204700000038,19.428204700000038,20.42770040000005,20.42770040000005,21.395025000000032,z,1,0.958556499999986,None,,,,,par_1_mtr_seq,001,2025-10-01_19h28.49.025,untitled,,2025.1.1,60.060060060065474,2025-10-01 19h29.00.343266 +0530,
-50,x,8,0,2,x,1,0.6235159000000294,None,2,0,8,0,,,,,21.410766200000012,,21.395497200000023,21.410766200000012,22.39430260000006,22.39430260000006,22.39430260000006,22.39430260000006,22.411016000000018,23.393862200000058,23.393862200000058,24.028070400000047,x,1,0.6235159000000294,None,,,,,par_1_mtr_seq,001,2025-10-01_19h28.49.025,untitled,,2025.1.1,60.060060060065474,2025-10-01 19h29.00.343266 +0530,
150,v,9,1,2,v,1,1.2514390000000049,None,2,1,9,1,,,,,24.04314850000003,,24.02859090000004,24.04314850000003,25.027706100000046,25.027706100000046,25.027706100000046,25.027706100000046,25.044362400000068,26.027610500000037,26.027610500000037,27.29496000000006,v,1,1.2514390000000049,None,,,,,par_1_mtr_seq,001,2025-10-01_19h28.49.025,untitled,,2025.1.1,60.060060060065474,2025-10-01 19h29.00.343266 +0530,
